"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia LAMAS",,,
"Viviendas particulares (001)",8168,5881,2287
"Ocupantes presentes (002)",35177,26113,9064
"Casa independiente",,,
"Viviendas particulares (004)",7757,5564,2193
"Ocupantes presentes (005)",33640,24868,8772
"Departamento en edificio",,,
"Viviendas particulares (007)",2,,2
"Ocupantes presentes (008)",4,,4
"Vivienda en quinta",,,
"Viviendas particulares (010)",197,135,62
"Ocupantes presentes (011)",619,455,164
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",29,11,18
"Ocupantes presentes (014)",131,50,81
"Choza o cabaña",,,
"Viviendas particulares (016)",151,146,5
"Ocupantes presentes (017)",658,640,18
"Vivienda improvisada",,,
"Viviendas particulares (019)",27,21,6
"Ocupantes presentes (020)",105,85,20
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",5,4,1
"Ocupantes presentes (023)",20,15,5
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",6117,3987,2130
"Ocupantes presentes (029)",26016,17641,8375
"Casa independiente",,,
"Viviendas particulares (031)",5857,3816,2041
"Ocupantes presentes (032)",25137,17036,8101
"Departamento en edificio",,,
"Viviendas particulares (034)",2,,2
"Ocupantes presentes (035)",4,,4
"Vivienda en quinta",,,
"Viviendas particulares (037)",197,135,62
"Ocupantes presentes (038)",619,455,164
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",29,11,18
"Ocupantes presentes (041)",131,50,81
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",27,21,6
"Ocupantes presentes (047)",105,85,20
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",5,4,1
"Ocupantes presentes (050)",20,15,5
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",2051,1894,157
"Ocupantes presentes (056)",9161,8472,689
"Casa independiente",,,
"Viviendas particulares (058)",1900,1748,152
"Ocupantes presentes (059)",8503,7832,671
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",151,146,5
"Ocupantes presentes (071)",658,640,18
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
