"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CASMA (000)",15991,15585,4600,2501,2456,1768,1991,1150,1119,406
"Católica (001)",13682,13333,4029,2173,2174,1475,1673,935,874,349
"Cristiana/Evangélica (002)",1829,1792,401,232,236,240,272,195,216,37
"Otra (003)",221,215,70,37,19,26,28,15,20,6
"Ninguna (004)",259,245,100,59,27,27,18,5,9,14
,,,,,,,,,,
"URBANA (006)",11398,11038,3256,1921,1889,1288,1364,717,603,360
"Católica (007)",9719,9411,2824,1657,1687,1086,1121,577,459,308
"Cristiana/Evangélica (008)",1280,1248,287,181,166,164,203,125,122,32
"Otra (009)",185,179,62,30,16,19,26,12,14,6
"Ninguna (010)",214,200,83,53,20,19,14,3,8,14
,,,,,,,,,,
"RURAL (012)",4593,4547,1344,580,567,480,627,433,516,46
"Católica (013)",3963,3922,1205,516,487,389,552,358,415,41
"Cristiana/Evangélica (014)",549,544,114,51,70,76,69,70,94,5
"Otra (015)",36,36,8,7,3,7,2,3,6,
"Ninguna (016)",45,45,17,6,7,8,4,2,1,
