"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CHICLAYO (000)",388053,189150,20688,3458,158678,5019,153,1136,565,9206
"Hombres (001)",137953,93357,13490,1721,20930,2298,84,640,529,4904
"Mujeres (002)",250100,95793,7198,1737,137748,2721,69,496,36,4302
"De 06 a 14 años (003)",130466,124387,,,3307,1145,9,146,,1472
"Hombres (004)",65252,62484,,,1360,602,7,82,,717
"Mujeres (005)",65214,61903,,,1947,543,2,64,,755
"De 15 a 29 años (006)",112821,62984,172,545,45033,,66,319,564,3138
"Hombres (007)",40094,30251,78,232,7168,,35,196,528,1606
"Mujeres (008)",72727,32733,94,313,37865,,31,123,36,1532
"De 30 a 44 años (009)",52338,1354,403,658,47924,,39,240,1,1719
"Hombres (010)",6210,475,160,280,4168,,24,143,1,959
"Mujeres (011)",46128,879,243,378,43756,,15,97,,760
"De 45 a 64 años (012)",51725,369,5853,1082,42566,49,30,206,,1570
"Hombres (013)",9531,125,3350,523,4434,28,12,119,,940
"Mujeres (014)",42194,244,2503,559,38132,21,18,87,,630
"De 65 y más años (015)",40703,56,14260,1173,19848,3825,9,225,,1307
"Hombres (016)",16866,22,9902,686,3800,1668,6,100,,682
"Mujeres (017)",23837,34,4358,487,16048,2157,3,125,,625
,,,,,,,,,,
"AREA URBANA (018)",361897,177475,19471,3287,146564,4691,148,1025,560,8676
"Hombres (019)",129427,87307,12562,1594,20002,2127,81,569,525,4660
"Mujeres (020)",232470,90168,6909,1693,126562,2564,67,456,35,4016
"De 06 a 14 años (021)",121122,115633,,,3002,1018,9,131,,1329
"Hombres (022)",60504,57953,,,1289,533,7,72,,650
"Mujeres (023)",60618,57680,,,1713,485,2,59,,679
"De 15 a 29 años (024)",105914,60126,166,526,41217,,63,283,559,2974
"Hombres (025)",38167,28751,74,223,6843,,33,173,524,1546
"Mujeres (026)",67747,31375,92,303,34374,,30,110,35,1428
"De 30 a 44 años (027)",48246,1306,383,622,44059,,39,216,1,1620
"Hombres (028)",5885,457,151,249,3962,,24,124,1,917
"Mujeres (029)",42361,849,232,373,40097,,15,92,,703
"De 45 a 64 años (030)",48427,357,5608,1038,39668,45,28,189,,1494
"Hombres (031)",9080,125,3171,493,4250,26,11,107,,897
"Mujeres (032)",39347,232,2437,545,35418,19,17,82,,597
"De 65 y más años (033)",38188,53,13314,1101,18618,3628,9,206,,1259
"Hombres (034)",15791,21,9166,629,3658,1568,6,93,,650
"Mujeres (035)",22397,32,4148,472,14960,2060,3,113,,609
,,,,,,,,,,
"AREA RURAL (036)",26156,11675,1217,171,12114,328,5,111,5,530
"Hombres (037)",8526,6050,928,127,928,171,3,71,4,244
"Mujeres (038)",17630,5625,289,44,11186,157,2,40,1,286
"De 06 a 14 años (039)",9344,8754,,,305,127,,15,,143
"Hombres (040)",4748,4531,,,71,69,,10,,67
"Mujeres (041)",4596,4223,,,234,58,,5,,76
"De 15 a 29 años (042)",6907,2858,6,19,3816,,3,36,5,164
"Hombres (043)",1927,1500,4,9,325,,2,23,4,60
"Mujeres (044)",4980,1358,2,10,3491,,1,13,1,104
"De 30 a 44 años (045)",4092,48,20,36,3865,,,24,,99
"Hombres (046)",325,18,9,31,206,,,19,,42
"Mujeres (047)",3767,30,11,5,3659,,,5,,57
"De 45 a 64 años (048)",3298,12,245,44,2898,4,2,17,,76
"Hombres (049)",451,,179,30,184,2,1,12,,43
"Mujeres (050)",2847,12,66,14,2714,2,1,5,,33
"De 65 y más años (051)",2515,3,946,72,1230,197,,19,,48
"Hombres (052)",1075,1,736,57,142,100,,7,,32
"Mujeres (053)",1440,2,210,15,1088,97,,12,,16
