"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAMANGA (000)",71283,50321,7153,5863,7946
"Hombres (001)",43379,30331,4580,3476,4992
"Mujeres (002)",27904,19990,2573,2387,2954
"De 06 a 14 años (003)",1208,1091,80,29,8
"Hombres (004)",708,626,58,20,4
"Mujeres (005)",500,465,22,9,4
"De 15 a 29 años (006)",24633,18160,2851,1737,1885
"Hombres (007)",15005,11050,1793,1052,1110
"Mujeres (008)",9628,7110,1058,685,775
"De 30 a 44 años (009)",26613,17322,2833,2742,3716
"Hombres (010)",15964,10333,1782,1558,2291
"Mujeres (011)",10649,6989,1051,1184,1425
"De 45 a 64 años (012)",15785,11008,1235,1291,2251
"Hombres (013)",9695,6539,842,797,1517
"Mujeres (014)",6090,4469,393,494,734
"De 65 y más años (015)",3044,2740,154,64,86
"Hombres (016)",2007,1783,105,49,70
"Mujeres (017)",1037,957,49,15,16
,,,,,
"URBANA (018)",57995,38251,6353,5601,7790
"Hombres (019)",33456,21364,3939,3284,4869
"Mujeres (020)",24539,16887,2414,2317,2921
"De 06 a 14 años (021)",1033,930,72,25,6
"Hombres (022)",608,535,52,19,2
"Mujeres (023)",425,395,20,6,4
"De 15 a 29 años (024)",19936,13933,2543,1630,1830
"Hombres (025)",11570,7968,1557,974,1071
"Mujeres (026)",8366,5965,986,656,759
"De 30 a 44 años (027)",22295,13451,2539,2650,3655
"Hombres (028)",12644,7381,1537,1487,2239
"Mujeres (029)",9651,6070,1002,1163,1416
"De 45 a 64 años (030)",12753,8229,1071,1235,2218
"Hombres (031)",7436,4481,708,757,1490
"Mujeres (032)",5317,3748,363,478,728
"De 65 y más años (033)",1978,1708,128,61,81
"Hombres (034)",1198,999,85,47,67
"Mujeres (035)",780,709,43,14,14
,,,,,
"RURAL (036)",13288,12070,800,262,156
"Hombres (037)",9923,8967,641,192,123
"Mujeres (038)",3365,3103,159,70,33
"De 06 a 14 años (039)",175,161,8,4,2
"Hombres (040)",100,91,6,1,2
"Mujeres (041)",75,70,2,3,
"De 15 a 29 años (042)",4697,4227,308,107,55
"Hombres (043)",3435,3082,236,78,39
"Mujeres (044)",1262,1145,72,29,16
"De 30 a 44 años (045)",4318,3871,294,92,61
"Hombres (046)",3320,2952,245,71,52
"Mujeres (047)",998,919,49,21,9
"De 45 a 64 años (048)",3032,2779,164,56,33
"Hombres (049)",2259,2058,134,40,27
"Mujeres (050)",773,721,30,16,6
"De 65 y más años (051)",1066,1032,26,3,5
"Hombres (052)",809,784,20,2,3
"Mujeres (053)",257,248,6,1,2
