"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia TRUJILLO (000)",191278,184073,177643,5350,1080,7205,1161,1317,4258,469
"Casa independiente (001)",173144,167086,161897,4227,962,6058,643,1205,3813,397
"Departamento en edificio (002)",10681,10024,9320,645,59,657,398,72,147,40
"Vivienda en quinta (003)",3366,3185,3028,149,8,181,89,14,64,14
"Vivienda en casa de vecindad (004)",2131,1949,1829,108,12,182,31,26,116,9
"Choza o cabaña (005)",157,142,71,44,27,15,,,15,
"Vivienda improvisada (006)",1400,1288,1099,177,12,112,,,103,9
"Local no dest.para hab. humana (007)",374,374,374,,,,,,,
"Otro tipo (008)",25,25,25,,,,,,,
,,,,,,,,,,
"URBANA (009)",185388,178615,173046,4966,603,6773,1152,1172,3992,457
"Casa independiente (010)",167417,161776,157377,3887,512,5641,634,1060,3562,385
"Departamento en edificio (011)",10681,10024,9320,645,59,657,398,72,147,40
"Vivienda en quinta (012)",3366,3185,3028,149,8,181,89,14,64,14
"Vivienda en casa de vecindad (013)",2131,1949,1829,108,12,182,31,26,116,9
"Vivienda improvisada (015)",1400,1288,1099,177,12,112,,,103,9
"Local no dest.para hab. humana (016)",369,369,369,,,,,,,
"Otro tipo (017)",24,24,24,,,,,,,
,,,,,,,,,,
"RURAL (018)",5890,5458,4597,384,477,432,9,145,266,12
"Casa independiente (019)",5727,5310,4520,340,450,417,9,145,251,12
"Choza o cabaña (023)",157,142,71,44,27,15,,,15,
"Local no dest.para hab. humana (025)",5,5,5,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
