"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SATIPO (000)",3051,2379,672
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",259,259,
"Casa pensión (003)",25,15,10
"Hospital, clinica (004)",65,62,3
"Cárcel, centro de readaptación social (005)",125,114,11
"Asilo (006)",12,12,
"Aldea infantil, orfelinato, etc (007)",203,203,
"Otro (008)",1820,1255,565
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",542,459,83
