"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia AREQUIPA (000)",352220,42470,88172,81373,140205
"Asiste actualmente (001)",267227,26427,85994,77632,77174
"No asiste (002)",84993,16043,2178,3741,63031
"Hombres (004)",175851,21775,44962,40828,68286
"Asiste actualmente (005)",134575,13490,43830,39053,38202
"No asiste (006)",41276,8285,1132,1775,30084
"Mujeres (008)",176369,20695,43210,40545,71919
"Asiste actualmente (009)",132652,12937,42164,38579,38972
"No asiste (010)",43717,7758,1046,1966,32947
,,,,,
"URBANA (012)",343557,41292,85865,79285,137115
"Asiste actualmente (013)",261656,25894,83775,75751,76236
"No asiste (014)",81901,15398,2090,3534,60879
"Hombres (016)",171252,21145,43776,39740,66591
"Asiste actualmente (017)",131659,13218,42689,38076,37676
"No asiste (018)",39593,7927,1087,1664,28915
"Mujeres (020)",172305,20147,42089,39545,70524
"Asiste actualmente (021)",129997,12676,41086,37675,38560
"No asiste (022)",42308,7471,1003,1870,31964
,,,,,
"RURAL (024)",8663,1178,2307,2088,3090
"Asiste actualmente (025)",5571,533,2219,1881,938
"No asiste (026)",3092,645,88,207,2152
"Hombres (028)",4599,630,1186,1088,1695
"Asiste actualmente (029)",2916,272,1141,977,526
"No asiste (030)",1683,358,45,111,1169
"Mujeres (032)",4064,548,1121,1000,1395
"Asiste actualmente (033)",2655,261,1078,904,412
"No asiste (034)",1409,287,43,96,983
