"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ICA (000)",74305,317159,67219,290530,7086,26629
"Casa independiente (001)",64426,281423,58458,258311,5968,23112
"Departamento en edificio (002)",1490,4968,1490,4968,,
"Vivienda en quinta (003)",1045,3538,1045,3538,,
"Vivienda en casa de vecindad (004)",809,2576,809,2576,,
"Choza o cabaña (005)",1095,3452,,,1095,3452
"Vivienda improvisada (006)",4865,19551,4865,19551,,
"Local no dest.para hab. humana (007)",134,374,122,336,12,38
"Otro tipo (008)",441,1277,430,1250,11,27
