"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUAROCHIRI (000)",18458,69102,12149,47675,6309,21427
"Casa independiente (001)",16749,63469,10972,43493,5777,19976
"Departamento en edificio (002)",192,605,192,605,,
"Vivienda en quinta (003)",437,1444,437,1444,,
"Vivienda en casa de vecindad (004)",362,1522,362,1522,,
"Choza o cabaña (005)",510,1377,,,510,1377
"Vivienda improvisada (006)",156,515,156,515,,
"Local no dest.para hab. humana (007)",39,128,26,87,13,41
"Otro tipo (008)",13,42,4,9,9,33
