"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUNO (000)",93680,69421,6393,5561,12305
"Sin nivel (001)",7398,7224,129,22,23
"Educación inicial (002)",54,48,4,1,1
"Primaria (003)",23115,21841,826,195,253
"Secundaria (004)",31180,26446,1905,922,1907
"Superior no univ. incompleta (005)",3740,2573,364,262,541
"Superior no univ. completa (006)",8108,3797,945,1141,2225
"Superior univ. incompleta (007)",4752,2829,506,372,1045
"Superior univ. completa (008)",15333,4663,1714,2646,6310
"De 06 a 14 años (010)",1181,1071,95,13,2
"Sin nivel (011)",29,27,1,1,
"Educación inicial (012)",13,12,1,,
"Primaria (013)",686,617,62,7,
"Secundaria (014)",453,415,31,5,2
"De 15 a 29 años (020)",26025,19900,2153,1419,2553
"Sin nivel (021)",160,153,5,,2
"Educación inicial (022)",23,19,2,1,1
"Primaria (023)",2913,2714,143,22,34
"Secundaria (024)",13367,11551,908,363,545
"Superior no univ. incompleta (025)",1923,1396,212,129,186
"Superior no univ. completa (026)",2357,1456,253,227,421
"Superior univ. incompleta (027)",2158,1410,247,178,323
"Superior univ. completa (028)",3124,1201,383,499,1041
"De 30 a 44 años (030)",32374,21760,2555,2590,5469
"Sin nivel (031)",586,557,22,5,2
"Educación inicial (032)",18,17,1,,
"Primaria (033)",6302,5926,253,62,61
"Secundaria (034)",10970,9342,619,331,678
"Superior no univ. incompleta (035)",1286,905,105,73,203
"Superior no univ. completa (036)",4054,1769,504,616,1165
"Superior univ. incompleta (037)",1590,933,174,121,362
"Superior univ. completa (038)",7568,2311,877,1382,2998
"De 45 a 64 años (040)",25827,18781,1452,1459,4135
"Sin nivel (041)",3147,3054,69,9,15
"Primaria (043)",9297,8777,315,81,124
"Secundaria (044)",5823,4637,323,212,651
"Superior no univ. incompleta (045)",503,251,46,57,149
"Superior no univ. completa (046)",1613,519,182,287,625
"Superior univ. incompleta (047)",967,461,82,69,355
"Superior univ. completa (048)",4477,1082,435,744,2216
"De 65 y más años (050)",8273,7909,138,80,146
"Sin nivel (051)",3476,3433,32,7,4
"Primaria (053)",3917,3807,53,23,34
"Secundaria (054)",567,501,24,11,31
"Superior no univ. incompleta (055)",28,21,1,3,3
"Superior no univ. completa (056)",84,53,6,11,14
