"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGUYO (000)",12723,12154,51,2041,2244,2058,3114,1861,675,110,569,45251
"De 12 a 14 años (001)",12,4,,4,,,,,,,8,4
"De 15 a 19 años (002)",195,166,2,142,14,4,4,,,,29,198
"De 20 a 24 años (003)",899,721,4,454,184,58,20,1,,,178,1087
"De 25 a 29 años (004)",1275,1103,4,410,368,208,108,5,,,172,2255
"De 30 a 34 años (005)",1385,1321,6,230,425,321,278,49,12,,64,3651
"De 35 a 39 años (006)",1455,1410,2,182,364,331,381,126,24,,45,4577
"De 40 a 44 años (007)",1183,1162,5,118,199,233,359,174,64,10,21,4569
"De 45 a 49 años (008)",1111,1097,2,89,153,179,338,226,96,14,14,4847
"De 50 y más años (009)",5208,5170,26,412,537,724,1626,1280,479,86,38,24063
"PEA (010)",6821,6502,29,1082,1203,1109,1676,984,369,50,319,24162
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",81,68,2,56,7,,3,,,,13,82
"De 20 a 24 años (013)",461,369,1,233,92,30,12,1,,,92,565
"De 25 a 29 años (014)",702,592,4,223,203,104,56,2,,,110,1188
"De 30 a 34 años (015)",788,743,4,146,234,170,153,28,8,,45,2025
"De 35 a 39 años (016)",828,802,,98,207,190,219,74,14,,26,2625
"De 40 a 44 años (017)",696,683,5,83,118,134,205,97,37,4,13,2601
"De 45 a 49 años (018)",623,616,,51,86,109,197,114,53,6,7,2676
"De 50 y más años (019)",2641,2629,13,192,256,372,831,668,257,40,12,12400
"Ocupada (020)",6679,6387,29,1042,1177,1096,1650,977,366,50,292,23843
"De 15 a 19 años (022)",76,63,2,51,7,,3,,,,13,77
