"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AYMARAES (000)",8055,238,3935,2323,676,206,83,28,3,,563
"Sin Nivel (001)",3180,148,1681,796,217,89,44,18,2,,185
"Educación Inicial (002)",8,1,6,,,,,,,,1
"Primaria (003)",2649,72,1488,709,180,47,18,5,1,,129
"Secundaria (004)",1575,17,656,580,138,30,9,4,,,141
"Sup. no Univ. Incompleta (005)",159,,30,71,29,6,1,,,,22
"Sup. no Univ. Completa (006)",217,,44,74,54,9,3,,,,33
"Sup. Univ. Incompleta (007)",77,,11,34,11,4,1,,,,16
"Sup. Univ. Completa (008)",190,,19,59,47,21,7,1,,,36
,,,,,,,,,,,
"URBANA (010)",3575,88,1580,1097,365,106,51,16,1,,271
"Sin Nivel (011)",1021,42,505,266,80,34,22,8,,,64
"Educación Inicial (012)",1,1,,,,,,,,,
"Primaria (013)",1168,37,625,321,100,19,13,4,1,,48
"Secundaria (014)",880,8,366,328,74,21,8,3,,,72
"Sup. no Univ. Incompleta (015)",120,,22,54,21,5,,,,,18
"Sup. no Univ. Completa (016)",174,,38,61,41,6,2,,,,26
"Sup. Univ. Incompleta (017)",55,,9,19,9,4,,,,,14
"Sup. Univ. Completa (018)",156,,15,48,40,17,6,1,,,29
,,,,,,,,,,,
"RURAL (020)",4480,150,2355,1226,311,100,32,12,2,,292
"Sin Nivel (021)",2159,106,1176,530,137,55,22,10,2,,121
"Educación Inicial (022)",7,,6,,,,,,,,1
"Primaria (023)",1481,35,863,388,80,28,5,1,,,81
"Secundaria (024)",695,9,290,252,64,9,1,1,,,69
"Sup. no Univ. Incompleta (025)",39,,8,17,8,1,1,,,,4
"Sup. no Univ. Completa (026)",43,,6,13,13,3,1,,,,7
"Sup. Univ. Incompleta (027)",22,,2,15,2,,1,,,,2
"Sup. Univ. Completa (028)",34,,4,11,7,4,1,,,,7
