"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LA UNION (000)",14660,6612,1244,162,6646
"Sin Nivel (001)",3577,1724,156,17,1681
"Educación Inicial (002)",415,316,36,1,62
"Primaria (003)",5932,3205,235,40,2455
"Secundaria (004)",3081,1210,232,38,1601
"Sup. no Univ. Incompleta (005)",297,43,30,7,217
"Sup. no Univ. Completa (006)",595,57,195,27,316
"Sup. Univ. Incompleta (007)",186,21,41,9,115
"Sup. Univ. Completa (008)",577,36,319,23,199
"Hombres (010)",7304,3221,597,103,3384
"Sin Nivel (011)",1189,664,48,5,472
"Educación Inicial (012)",202,157,19,1,25
"Primaria (013)",3120,1652,121,17,1331
"Secundaria (014)",1873,678,129,31,1035
"Sup. no Univ. Incompleta (015)",175,22,13,6,134
"Sup. no Univ. Completa (016)",330,22,92,22,194
"Sup. Univ. Incompleta (017)",114,9,24,6,75
"Sup. Univ. Completa (018)",301,17,151,15,118
"Mujeres (020)",7356,3391,647,59,3262
"Sin Nivel (021)",2388,1060,108,12,1209
"Educación Inicial (022)",213,159,17,,37
"Primaria (023)",2812,1553,114,23,1124
"Secundaria (024)",1208,532,103,7,566
"Sup. no Univ. Incompleta (025)",122,21,17,1,83
"Sup. no Univ. Completa (026)",265,35,103,5,122
"Sup. Univ. Incompleta (027)",72,12,17,3,40
"Sup. Univ. Completa (028)",276,19,168,8,81
,,,,,
"URBANA (030)",7118,3099,919,101,3002
"Sin Nivel (031)",1252,628,71,4,550
"Educación Inicial (032)",225,162,29,1,33
"Primaria (033)",2725,1491,162,21,1053
"Secundaria (034)",1760,718,179,24,839
"Sup. no Univ. Incompleta (035)",195,28,18,6,143
"Sup. no Univ. Completa (036)",384,30,159,21,174
"Sup. Univ. Incompleta (037)",127,16,33,8,70
"Sup. Univ. Completa (038)",450,26,268,16,140
"Hombres (040)",3506,1518,417,65,1506
"Sin Nivel (041)",378,225,19,,134
"Educación Inicial (042)",114,86,14,1,13
"Primaria (043)",1385,760,75,7,543
"Secundaria (044)",1032,406,94,18,514
"Sup. no Univ. Incompleta (045)",113,15,9,6,83
"Sup. no Univ. Completa (046)",186,7,68,17,94
"Sup. Univ. Incompleta (047)",79,7,19,5,48
"Sup. Univ. Completa (048)",219,12,119,11,77
"Mujeres (050)",3612,1581,502,36,1496
"Sin Nivel (051)",874,403,52,4,416
"Educación Inicial (052)",111,76,15,,20
"Primaria (053)",1340,731,87,14,510
"Secundaria (054)",728,312,85,6,325
"Sup. no Univ. Incompleta (055)",82,13,9,,60
"Sup. no Univ. Completa (056)",198,23,91,4,80
"Sup. Univ. Incompleta (057)",48,9,14,3,22
"Sup. Univ. Completa (058)",231,14,149,5,63
,,,,,
"RURAL (060)",7542,3513,325,61,3644
"Sin Nivel (061)",2325,1096,85,13,1131
"Educación Inicial (062)",190,154,7,,29
"Primaria (063)",3207,1714,73,19,1402
"Secundaria (064)",1321,492,53,14,762
"Sup. no Univ. Incompleta (065)",102,15,12,1,74
"Sup. no Univ. Completa (066)",211,27,36,6,142
"Sup. Univ. Incompleta (067)",59,5,8,1,45
"Sup. Univ. Completa (068)",127,10,51,7,59
"Hombres (070)",3798,1703,180,38,1878
"Sin Nivel (071)",811,439,29,5,338
"Educación Inicial (072)",88,71,5,,12
"Primaria (073)",1735,892,46,10,788
"Secundaria (074)",841,272,35,13,521
"Sup. no Univ. Incompleta (075)",62,7,4,,51
"Sup. no Univ. Completa (076)",144,15,24,5,100
"Sup. Univ. Incompleta (077)",35,2,5,1,27
"Sup. Univ. Completa (078)",82,5,32,4,41
"Mujeres (080)",3744,1810,145,23,1766
"Sin Nivel (081)",1514,657,56,8,793
"Educación Inicial (082)",102,83,2,,17
"Primaria (083)",1472,822,27,9,614
"Secundaria (084)",480,220,18,1,241
"Sup. no Univ. Incompleta (085)",40,8,8,1,23
"Sup. no Univ. Completa (086)",67,12,12,1,42
"Sup. Univ. Incompleta (087)",24,3,3,,18
"Sup. Univ. Completa (088)",45,5,19,3,18
