"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCANE (000)",23192,20686,1156,389,961
"Agric., ganadería, caza y silvicultura (001)",16264,15703,530,28,3
"Pesca (002)",101,99,2,,
"Explotación de minas y canteras (003)",101,37,19,25,20
"Industrias manufactureras (004)",822,755,59,6,2
"Suministro de electricidad, gas y agua (005)",22,3,2,15,2
"Construcción (006)",686,519,107,53,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1753,1692,59,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",73,71,2,,
"Comercio al por mayor (009)",99,90,9,,
"Comercio al por menor (010)",1581,1531,48,2,
"Hoteles y restaurantes (011)",315,300,11,3,1
"Trans., almac. y comunicaciones (012)",500,454,26,8,12
"Intermediación financiera (013)",11,5,3,3,
"Activid.inmobil., empres. y alquileres (014)",116,70,17,18,11
"Admin.pub. y defensa; p. segur soc.afil (015)",516,,,,516
"Enseñanza (016)",941,272,259,206,204
"Servicios sociales y de salud (017)",202,29,7,3,163
"Otras activ. serv.comun.soc y personales (018)",143,107,23,10,3
"Hogares privados con servicio doméstico (019)",168,168,,,
"Actividad economica no especificada (021)",531,473,32,9,17
"Hombres (022)",13463,11661,815,309,678
"Agric., ganadería, caza y silvicultura (023)",9177,8856,307,13,1
"Pesca (024)",96,94,2,,
"Explotación de minas y canteras (025)",99,35,19,25,20
"Industrias manufactureras (026)",438,386,44,6,2
"Suministro de electricidad, gas y agua (027)",21,3,2,14,2
"Construcción (028)",666,510,105,47,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",765,729,35,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",64,62,2,,
"Comercio al por mayor (031)",48,41,7,,
"Comercio al por menor (032)",653,626,26,1,
"Hoteles y restaurantes (033)",64,58,4,2,
"Trans., almac. y comunicaciones (034)",476,432,25,7,12
"Intermediación financiera (035)",9,4,3,2,
"Activid.inmobil., empres. y alquileres (036)",96,58,17,14,7
"Admin.pub. y defensa; p. segur soc.afil (037)",403,,,,403
"Enseñanza (038)",700,197,211,162,130
"Servicios sociales y de salud (039)",100,18,3,,79
"Otras activ. serv.comun.soc y personales (040)",100,71,18,10,1
"Hogares privados con servicio doméstico (041)",26,26,,,
"Actividad economica no especificada (043)",227,184,20,6,17
