"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YAULI (000)",19701,111,6165,7855,5014,556
"Empleado (001)",4976,13,1632,2098,1168,65
"Obrero (002)",7609,13,2310,3230,1966,90
"Trabajador independiente (003)",5106,15,1344,1933,1502,312
"Empleador o patrono (004)",271,,61,104,91,15
"Trabajador familiar no remunerado (005)",651,55,232,158,142,64
"Trabajador del hogar (006)",183,7,91,54,27,4
"Desocupado (008)",905,8,495,278,118,6
"Hombres (009)",14496,62,4421,5870,3791,352
"Empleado (010)",3170,9,884,1382,853,42
"Obrero (011)",7173,10,2186,3057,1850,70
"Trabajador independiente (012)",3019,10,841,1098,881,189
"Empleador o patrono (013)",178,,46,63,56,13
"Trabajador familiar no remunerado (014)",273,27,113,54,48,31
"Trabajador del hogar (015)",12,,5,4,2,1
"Desocupado (017)",671,6,346,212,101,6
"Mujeres (018)",5205,49,1744,1985,1223,204
"Empleado (019)",1806,4,748,716,315,23
"Obrero (020)",436,3,124,173,116,20
"Trabajador independiente (021)",2087,5,503,835,621,123
"Empleador o patrono (022)",93,,15,41,35,2
"Trabajador familiar no remunerado (023)",378,28,119,104,94,33
"Trabajador del hogar (024)",171,7,86,50,25,3
"Desocupado (026)",234,2,149,66,17,
,,,,,,
"URBANA (027)",17073,90,5281,6932,4357,413
"Empleado (028)",4612,13,1486,1936,1114,63
"Obrero (029)",6253,12,1815,2700,1680,46
"Trabajador independiente (030)",4525,14,1225,1778,1268,240
"Empleador o patrono (031)",246,,61,96,79,10
"Trabajador familiar no remunerado (032)",448,40,159,118,87,44
"Trabajador del hogar (033)",177,7,89,53,24,4
"Desocupado (035)",812,4,446,251,105,6
"Hombres (036)",12385,51,3701,5093,3283,257
"Empleado (037)",2863,9,776,1234,804,40
"Obrero (038)",5979,9,1732,2583,1614,41
"Trabajador independiente (039)",2609,10,768,986,707,138
"Empleador o patrono (040)",159,,46,57,48,8
"Trabajador familiar no remunerado (041)",171,20,68,40,20,23
"Trabajador del hogar (042)",11,,5,4,1,1
"Desocupado (044)",593,3,306,189,89,6
"Mujeres (045)",4688,39,1580,1839,1074,156
"Empleado (046)",1749,4,710,702,310,23
"Obrero (047)",274,3,83,117,66,5
"Trabajador independiente (048)",1916,4,457,792,561,102
"Empleador o patrono (049)",87,,15,39,31,2
"Trabajador familiar no remunerado (050)",277,20,91,78,67,21
"Trabajador del hogar (051)",166,7,84,49,23,3
"Desocupado (053)",219,1,140,62,16,
,,,,,,
"RURAL (054)",2628,21,884,923,657,143
"Empleado (055)",364,,146,162,54,2
"Obrero (056)",1356,1,495,530,286,44
"Trabajador independiente (057)",581,1,119,155,234,72
"Empleador o patrono (058)",25,,,8,12,5
"Trabajador familiar no remunerado (059)",203,15,73,40,55,20
"Trabajador del hogar (060)",6,,2,1,3,
"Desocupado (062)",93,4,49,27,13,
"Hombres (063)",2111,11,720,777,508,95
"Empleado (064)",307,,108,148,49,2
"Obrero (065)",1194,1,454,474,236,29
"Trabajador independiente (066)",410,,73,112,174,51
"Empleador o patrono (067)",19,,,6,8,5
"Trabajador familiar no remunerado (068)",102,7,45,14,28,8
"Trabajador del hogar (069)",1,,,,1,
"Desocupado (071)",78,3,40,23,12,
"Mujeres (072)",517,10,164,146,149,48
"Empleado (073)",57,,38,14,5,
"Obrero (074)",162,,41,56,50,15
"Trabajador independiente (075)",171,1,46,43,60,21
"Empleador o patrono (076)",6,,,2,4,
"Trabajador familiar no remunerado (077)",101,8,28,26,27,12
"Trabajador del hogar (078)",5,,2,1,2,
"Desocupado (080)",15,1,9,4,1,
