"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SANDIA (000)",20751,20230,6543,2580,2455,2104,3100,1959,1489,521
"Católica (001)",16528,16103,5272,1988,1954,1682,2461,1533,1213,425
"Cristiana/Evangélica (002)",1393,1370,432,183,159,138,228,140,90,23
"Otra (003)",2303,2247,663,332,274,237,336,240,165,56
"Ninguna (004)",527,510,176,77,68,47,75,46,21,17
,,,,,,,,,,
"URBANA (006)",6071,5865,1964,781,821,617,833,470,379,206
"Católica (007)",5136,4955,1675,629,705,539,697,386,324,181
"Cristiana/Evangélica (008)",238,231,72,34,25,21,36,26,17,7
"Otra (009)",546,534,167,93,71,44,80,50,29,12
"Ninguna (010)",151,145,50,25,20,13,20,8,9,6
,,,,,,,,,,
"RURAL (012)",14680,14365,4579,1799,1634,1487,2267,1489,1110,315
"Católica (013)",11392,11148,3597,1359,1249,1143,1764,1147,889,244
"Cristiana/Evangélica (014)",1155,1139,360,149,134,117,192,114,73,16
"Otra (015)",1757,1713,496,239,203,193,256,190,136,44
"Ninguna (016)",376,365,126,52,48,34,55,38,12,11
