"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMPA (000)",48223,11853,5127,821,30453
"Menos de 1 año (001)",738,487,50,7,194
"De 1 a 14 años (002)",14174,7013,1047,152,5970
"De 15 a 29 años (003)",13171,2015,1118,225,9819
"De 30 a 44 años (004)",8883,1044,1365,178,6309
"De 45 a 64 años (005)",7354,767,977,142,5470
"De 65 y mas años (006)",3903,527,570,117,2691
"Hombres (008)",24061,5793,3059,514,14716
"Menos de 1 año (009)",388,258,27,4,99
"De 1 a 14 años (010)",7180,3592,526,80,2986
"De 15 a 29 años (011)",6704,941,725,146,4895
"De 30 a 44 años (012)",4424,442,900,127,2966
"De 45 a 64 años (013)",3539,322,572,95,2551
"De 65 y mas años (014)",1826,238,309,62,1219
"Mujeres (016)",24162,6060,2068,307,15737
"Menos de 1 año (017)",350,229,23,3,95
"De 1 a 14 años (018)",6994,3421,521,72,2984
"De 15 a 29 años (019)",6467,1074,393,79,4924
"De 30 a 44 años (020)",4459,602,465,51,3343
"De 45 a 64 años (021)",3815,445,405,47,2919
"De 65 y mas años (022)",2077,289,261,55,1472
,,,,,
"URBANA (024)",18659,4021,3086,467,11104
"Menos de 1 año (025)",316,185,32,5,94
"De 1 a 14 años (026)",5537,2228,817,97,2400
"De 15 a 29 años (027)",5617,808,611,132,4071
"De 30 a 44 años (028)",3577,384,753,113,2335
"De 45 a 64 años (029)",2467,237,633,79,1518
"De 65 y mas años (030)",1145,179,240,41,686
"Hombres (032)",9217,1935,1590,301,5404
"Menos de 1 año (033)",166,99,18,3,46
"De 1 a 14 años (034)",2795,1124,410,49,1215
"De 15 a 29 años (035)",2792,376,301,87,2031
"De 30 a 44 años (036)",1717,159,376,84,1104
"De 45 a 64 años (037)",1232,102,360,56,714
"De 65 y mas años (038)",515,75,125,22,294
"Mujeres (040)",9442,2086,1496,166,5700
"Menos de 1 año (041)",150,86,14,2,48
"De 1 a 14 años (042)",2742,1104,407,48,1185
"De 15 a 29 años (043)",2825,432,310,45,2040
"De 30 a 44 años (044)",1860,225,377,29,1231
"De 45 a 64 años (045)",1235,135,273,23,804
"De 65 y mas años (046)",630,104,115,19,392
,,,,,
"RURAL (048)",29564,7832,2041,354,19349
"Menos de 1 año (049)",422,302,18,2,100
"De 1 a 14 años (050)",8637,4785,230,55,3570
"De 15 a 29 años (051)",7554,1207,507,93,5748
"De 30 a 44 años (052)",5306,660,612,65,3974
"De 45 a 64 años (053)",4887,530,344,63,3952
"De 65 y mas años (054)",2758,348,330,76,2005
"Hombres (056)",14844,3858,1469,213,9312
"Menos de 1 año (057)",222,159,9,1,53
"De 1 a 14 años (058)",4385,2468,116,31,1771
"De 15 a 29 años (059)",3912,565,424,59,2864
"De 30 a 44 años (060)",2707,283,524,43,1862
"De 45 a 64 años (061)",2307,220,212,39,1837
"De 65 y mas años (062)",1311,163,184,40,925
"Mujeres (064)",14720,3974,572,141,10037
"Menos de 1 año (065)",200,143,9,1,47
"De 1 a 14 años (066)",4252,2317,114,24,1799
"De 15 a 29 años (067)",3642,642,83,34,2884
"De 30 a 44 años (068)",2599,377,88,22,2112
"De 45 a 64 años (069)",2580,310,132,24,2115
"De 65 y mas años (070)",1447,185,146,36,1080
