"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LAMAS (000)",19902,509,9824,5207,1369,449,247,85,4,,2208
"Sin Nivel (001)",3783,126,1734,968,255,93,73,38,2,,494
"Educación Inicial (002)",34,1,19,8,2,,,,,,4
"Primaria (003)",11534,343,6274,2843,590,196,130,35,2,,1121
"Secundaria (004)",3493,37,1645,1020,266,69,20,6,,,430
"Sup. no Univ. Incompleta (005)",224,,42,88,42,13,2,,,,37
"Sup. no Univ. Completa (006)",480,,65,170,120,46,10,3,,,66
"Sup. Univ. Incompleta (007)",93,,20,31,18,4,2,,,,18
"Sup. Univ. Completa (008)",261,2,25,79,76,28,10,3,,,38
,,,,,,,,,,,
"URBANA (010)",10310,216,4667,2912,851,288,153,51,2,,1170
"Sin Nivel (011)",1333,38,562,350,98,38,33,18,1,,195
"Educación Inicial (012)",22,1,11,6,1,,,,,,3
"Primaria (013)",5505,148,2840,1477,309,109,79,22,1,,520
"Secundaria (014)",2492,27,1116,748,210,59,17,6,,,309
"Sup. no Univ. Incompleta (015)",187,,33,76,34,11,2,,,,31
"Sup. no Univ. Completa (016)",439,,60,157,109,41,10,3,,,59
"Sup. Univ. Incompleta (017)",87,,20,27,17,4,2,,,,17
"Sup. Univ. Completa (018)",245,2,25,71,73,26,10,2,,,36
,,,,,,,,,,,
"RURAL (020)",9592,293,5157,2295,518,161,94,34,2,,1038
"Sin Nivel (021)",2450,88,1172,618,157,55,40,20,1,,299
"Educación Inicial (022)",12,,8,2,1,,,,,,1
"Primaria (023)",6029,195,3434,1366,281,87,51,13,1,,601
"Secundaria (024)",1001,10,529,272,56,10,3,,,,121
"Sup. no Univ. Incompleta (025)",37,,9,12,8,2,,,,,6
"Sup. no Univ. Completa (026)",41,,5,13,11,5,,,,,7
"Sup. Univ. Incompleta (027)",6,,,4,1,,,,,,1
"Sup. Univ. Completa (028)",16,,,8,3,2,,1,,,2
