"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CANCHIS",,,,,,,,,
"Viviendas particulares (001)",1100,421,171,83,124,21,13,51,216
"Ocupantes presentes (002)",4263,1636,671,293,493,98,54,170,848
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1001,389,159,80,110,21,13,51,178
"Ocupantes presentes (005)",3940,1535,627,282,444,98,54,170,730
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",4,,,,,,,,4
"Ocupantes presentes (008)",21,,,,,,,,21
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,,,,,,,,1
"Ocupantes presentes (011)",1,,,,,,,,1
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",92,31,11,3,14,,,,33
"Ocupantes presentes (014)",296,97,43,11,49,,,,96
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,1,1,,,,,,
"Ocupantes presentes (026)",5,4,1,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",740,299,124,67,82,12,5,13,138
"Ocupantes presentes (029)",2851,1168,477,239,319,49,15,46,538
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",641,267,112,64,68,12,5,13,100
"Ocupantes presentes (032)",2528,1067,433,228,270,49,15,46,420
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",4,,,,,,,,4
"Ocupantes presentes (035)",21,,,,,,,,21
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,,,,,,,,1
"Ocupantes presentes (038)",1,,,,,,,,1
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",92,31,11,3,14,,,,33
"Ocupantes presentes (041)",296,97,43,11,49,,,,96
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",2,1,1,,,,,,
"Ocupantes presentes (053)",5,4,1,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",360,122,47,16,42,9,8,38,78
"Ocupantes presentes (056)",1412,468,194,54,174,49,39,124,310
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",360,122,47,16,42,9,8,38,78
"Ocupantes presentes (059)",1412,468,194,54,174,49,39,124,310
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
