"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VICTOR FAJARDO (000)",22338,10685,2767,415,8484
"Hombres (001)",10735,4797,1620,266,4061
"Mujeres (002)",11603,5888,1147,149,4423
"PEA (003)",8645,2860,1512,222,4057
"Hombres (004)",5796,1838,1101,170,2692
"Mujeres (005)",2849,1022,411,52,1365
"Ocupada (006)",8327,2736,1497,212,3888
"Hombres (007)",5569,1748,1089,165,2572
"Mujeres (008)",2758,988,408,47,1316
"Desocupada (009)",318,124,15,10,169
"Hombres (010)",227,90,12,5,120
"Mujeres (011)",91,34,3,5,49
"No PEA (012)",13693,7825,1255,193,4427
"Hombres (013)",4939,2959,519,96,1369
"Mujeres (014)",8754,4866,736,97,3058
,,,,,
"URBANA (018)",16703,7710,2513,317,6176
"Hombres (019)",8096,3434,1491,198,2982
"Mujeres (020)",8607,4276,1022,119,3194
"PEA (021)",6747,2145,1405,169,3034
"Hombres (022)",4431,1311,1022,128,1975
"Mujeres (023)",2316,834,383,41,1059
"Ocupada (024)",6511,2069,1391,164,2893
"Hombres (025)",4254,1252,1011,123,1873
"Mujeres (026)",2257,817,380,41,1020
"Desocupada (027)",236,76,14,5,141
"Hombres (028)",177,59,11,5,102
"Mujeres (029)",59,17,3,,39
"No PEA (030)",9956,5565,1108,148,3142
"Hombres (031)",3665,2123,469,70,1007
"Mujeres (032)",6291,3442,639,78,2135
,,,,,
"RURAL (036)",5635,2975,254,98,2308
"Hombres (037)",2639,1363,129,68,1079
"Mujeres (038)",2996,1612,125,30,1229
"PEA (039)",1898,715,107,53,1023
"Hombres (040)",1365,527,79,42,717
"Mujeres (041)",533,188,28,11,306
"Ocupada (042)",1816,667,106,48,995
"Hombres (043)",1315,496,78,42,699
"Mujeres (044)",501,171,28,6,296
"Desocupada (045)",82,48,1,5,28
"Hombres (046)",50,31,1,,18
"Mujeres (047)",32,17,,5,10
"No PEA (048)",3737,2260,147,45,1285
"Hombres (049)",1274,836,50,26,362
"Mujeres (050)",2463,1424,97,19,923
