"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CASMA (000)",37505,7840,11361,8760,6556,2988
"Sin nivel (001)",3338,154,323,684,1105,1072
"Educación inicial (002)",532,514,15,3,,
"Primaria (003)",13628,5582,1919,2241,2608,1278
"Secundaria (004)",13529,1590,6596,3380,1639,324
"Superior no univ. incompleta (005)",1330,,738,400,161,31
"Superior no univ. completa (006)",1919,,607,834,353,125
"Superior univ. incompleta (007)",1246,,743,302,162,39
"Superior univ. completa (008)",1983,,420,916,528,119
"PEA (010)",16834,158,5675,5976,4048,977
"Sin nivel (011)",1141,10,135,314,421,261
"Educación inicial (012)",14,3,10,1,,
"Primaria (013)",4593,96,1067,1332,1590,508
"Secundaria (014)",6826,49,3085,2408,1169,115
"Superior no univ. incompleta (015)",784,,356,301,115,12
"Superior no univ. completa (016)",1331,,424,632,245,30
"Superior univ. incompleta (017)",654,,281,232,126,15
"Superior univ. completa (018)",1491,,317,756,382,36
"Ocupada (020)",15974,135,5216,5764,3915,944
"Sin nivel (021)",1087,10,125,296,403,253
"Educación inicial (022)",13,3,9,1,,
"Primaria (023)",4369,78,982,1285,1536,488
"Secundaria (024)",6429,44,2829,2315,1129,112
"Superior no univ. incompleta (025)",738,,322,292,112,12
"Superior no univ. completa (026)",1282,,398,616,240,28
"Superior univ. incompleta (027)",614,,253,222,124,15
"Superior univ. completa (028)",1442,,298,737,371,36
"Desocupada (030)",860,23,459,212,133,33
"Sin nivel (031)",54,,10,18,18,8
