"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHICLAYO (000)",715922,28008,146810,146867,118715,100925,75695,48064,50838
"Quechua (001)",1703,19,188,387,299,290,225,165,130
"Aymara (002)",268,14,44,45,43,43,41,30,8
"Ashaninca (003)",82,2,20,15,14,10,8,7,6
"Otra lengua nativa (004)",954,32,188,283,151,107,86,49,58
"Castellano (005)",712009,27914,146162,145950,118062,100357,75222,47757,50585
"Idioma extranjero (006)",163,6,13,22,17,22,37,21,25
"Es sordomudo/a (007)",743,21,195,165,129,96,76,35,26
"Hombres (009)",344266,14149,74144,71039,55885,46388,35004,23065,24592
"Quechua (010)",811,12,84,158,146,142,112,92,65
"Aymara (011)",138,6,18,16,25,21,31,15,6
"Ashaninca (012)",33,1,8,6,5,3,2,6,2
"Otra lengua nativa (013)",482,16,86,159,75,53,41,25,27
"Castellano (014)",342301,14098,73831,70598,55565,46102,34749,22891,24467
"Idioma extranjero (015)",96,3,7,10,6,15,26,14,15
"Es sordomudo/a (016)",405,13,110,92,63,52,43,22,10
"Mujeres (018)",371656,13859,72666,75828,62830,54537,40691,24999,26246
"Quechua (019)",892,7,104,229,153,148,113,73,65
"Aymara (020)",130,8,26,29,18,22,10,15,2
"Ashaninca (021)",49,1,12,9,9,7,6,1,4
"Otra lengua nativa (022)",472,16,102,124,76,54,45,24,31
"Castellano (023)",369708,13816,72331,75352,62497,54255,40473,24866,26118
"Idioma extranjero (024)",67,3,6,12,11,7,11,7,10
"Es sordomudo/a (025)",338,8,85,73,66,44,33,13,16
,,,,,,,,,
"URBANA (027)",669662,25815,136191,137583,111470,94583,71253,45295,47472
"Quechua (028)",1669,19,181,380,292,280,225,163,129
"Aymara (029)",262,13,43,44,42,42,41,29,8
"Ashaninca (030)",79,2,20,14,14,10,7,7,5
"Otra lengua nativa (031)",950,32,187,283,151,106,86,48,57
"Castellano (032)",665868,25723,135568,136691,110835,94043,70788,44997,47223
"Idioma extranjero (033)",163,6,13,22,17,22,37,21,25
"Es sordomudo/a (034)",671,20,179,149,119,80,69,30,25
"Hombres (036)",320625,13010,68689,66194,52299,43291,32755,21619,22768
"Quechua (037)",795,12,81,156,142,136,112,91,65
"Aymara (038)",135,6,17,16,25,20,31,14,6
"Ashaninca (039)",32,1,8,6,5,3,2,6,1
"Otra lengua nativa (040)",482,16,86,159,75,53,41,25,27
"Castellano (041)",318726,12960,68392,65762,51990,43022,32507,21449,22644
"Idioma extranjero (042)",96,3,7,10,6,15,26,14,15
"Es sordomudo/a (043)",359,12,98,85,56,42,36,20,10
"Mujeres (045)",349037,12805,67502,71389,59171,51292,38498,23676,24704
"Quechua (046)",874,7,100,224,150,144,113,72,64
"Aymara (047)",127,7,26,28,17,22,10,15,2
"Ashaninca (048)",47,1,12,8,9,7,5,1,4
"Otra lengua nativa (049)",468,16,101,124,76,53,45,23,30
"Castellano (050)",347142,12763,67176,70929,58845,51021,38281,23548,24579
"Idioma extranjero (051)",67,3,6,12,11,7,11,7,10
"Es sordomudo/a (052)",312,8,81,64,63,38,33,10,15
,,,,,,,,,
"RURAL (054)",46260,2193,10619,9284,7245,6342,4442,2769,3366
"Quechua (055)",34,,7,7,7,10,,2,1
"Aymara (056)",6,1,1,1,1,1,,1,
"Ashaninca (057)",3,,,1,,,1,,1
"Otra lengua nativa (058)",4,,1,,,1,,1,1
"Castellano (059)",46141,2191,10594,9259,7227,6314,4434,2760,3362
"Es sordomudo/a (061)",72,1,16,16,10,16,7,5,1
"Hombres (063)",23641,1139,5455,4845,3586,3097,2249,1446,1824
"Quechua (064)",16,,3,2,4,6,,1,
"Aymara (065)",3,,1,,,1,,1,
"Ashaninca (066)",1,,,,,,,,1
"Castellano (068)",23575,1138,5439,4836,3575,3080,2242,1442,1823
"Es sordomudo/a (070)",46,1,12,7,7,10,7,2,
"Mujeres (072)",22619,1054,5164,4439,3659,3245,2193,1323,1542
"Quechua (073)",18,,4,5,3,4,,1,1
"Aymara (074)",3,1,,1,1,,,,
"Ashaninca (075)",2,,,1,,,1,,
"Otra lengua nativa (076)",4,,1,,,1,,1,1
"Castellano (077)",22566,1053,5155,4423,3652,3234,2192,1318,1539
"Es sordomudo/a (079)",26,,4,9,3,6,,3,1
