"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",6732,62,1967,2469,839,293,129,50,8,,915
"Catolica (001)",6044,52,1735,2225,773,272,110,46,8,,823
"Cristiana / Evangelica (002)",575,9,195,212,54,14,14,4,,,73
"Otra (003)",68,,17,22,9,6,4,,,,10
"Ninguna (004)",45,1,20,10,3,1,1,,,,9
,,,,,,,,,,,
"URBANA (006)",2985,29,840,1082,381,151,73,23,3,,403
"Catolica (007)",2717,24,755,996,352,139,63,22,3,,363
"Cristiana / Evangelica (008)",212,4,69,73,22,7,8,1,,,28
"Otra (009)",34,,9,8,6,4,1,,,,6
"Ninguna (010)",22,1,7,5,1,1,1,,,,6
,,,,,,,,,,,
"RURAL (012)",3747,33,1127,1387,458,142,56,27,5,,512
"Catolica (013)",3327,28,980,1229,421,133,47,24,5,,460
"Cristiana / Evangelica (014)",363,5,126,139,32,7,6,3,,,45
"Otra (015)",34,,8,14,3,2,3,,,,4
"Ninguna (016)",23,,13,5,2,,,,,,3
