"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANGARAES (000)",12126,272,3704,4107,3136,907
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,,4,14,9,
"Profes., científicos e intelectuales (002)",851,,189,462,194,6
"Técnicos de nivel medio y trab.asimilados (003)",209,2,85,76,40,6
"Jefes y empleados de oficina (004)",184,,56,79,48,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",619,5,165,234,172,43
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4150,14,911,1355,1350,520
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",547,,196,229,113,9
"Obreros construc., conf., papel, fab., instr. (008)",418,1,146,157,108,6
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3401,232,1222,969,760,218
"Otra (010)",40,,17,16,7,
"Ocupación no especificada (011)",520,4,200,157,117,42
"Desocupado (012)",1160,14,513,359,218,56
"Hombres (013)",8831,137,2668,3017,2361,648
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",23,,2,14,7,
"Profes., científicos e intelectuales (015)",487,,91,253,138,5
"Técnicos de nivel medio y trab.asimilados (016)",114,,37,44,30,3
"Jefes y empleados de oficina (017)",121,,27,56,38,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",232,2,67,77,68,18
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3557,7,785,1201,1144,420
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",515,,181,216,111,7
"Obreros construc., conf., papel, fab., instr. (021)",415,1,146,154,108,6
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",2086,119,801,596,453,117
"Otra (023)",40,,17,16,7,
"Ocupación no especificada (024)",299,3,124,93,61,18
"Desocupado (025)",942,5,390,297,196,54
"Mujeres (026)",3295,135,1036,1090,775,259
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,,2,,2,
"Profes., científicos e intelectuales (028)",364,,98,209,56,1
"Técnicos de nivel medio y trab.asimilados (029)",95,2,48,32,10,3
"Jefes y empleados de oficina (030)",63,,29,23,10,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",387,3,98,157,104,25
"Agricult.trabaj. calif. agrop. y pesqueros (032)",593,7,126,154,206,100
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",32,,15,13,2,2
"Obreros construc., conf., papel, fab., instr. (034)",3,,,3,,
