"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia PASCO",,,,,
"Viviendas particulares (001)",7987,1493,1867,3544,1083
"Ocupantes presentes (002)",34812,6045,8226,15910,4631
"Casa independiente",,,,,
"Viviendas particulares (004)",7108,1359,1670,3157,922
"Ocupantes presentes (005)",31435,5550,7488,14364,4033
"Departamento en edificio",,,,,
"Viviendas particulares (007)",74,15,14,36,9
"Ocupantes presentes (008)",275,50,50,152,23
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",487,79,92,215,101
"Ocupantes presentes (011)",1829,280,312,873,364
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",282,35,85,121,41
"Ocupantes presentes (014)",1130,154,355,475,146
"Choza o cabaña",,,,,
"Viviendas particulares (016)",9,1,,,8
"Ocupantes presentes (017)",60,3,,,57
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",17,2,2,12,1
"Ocupantes presentes (020)",56,6,8,37,5
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",10,2,4,3,1
"Ocupantes presentes (023)",27,2,13,9,3
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",7725,1438,1853,3525,909
"Ocupantes presentes (029)",33592,5822,8183,15818,3769
"Casa independiente",,,,,
"Viviendas particulares (031)",6856,1305,1656,3138,757
"Ocupantes presentes (032)",30278,5330,7445,14272,3231
"Departamento en edificio",,,,,
"Viviendas particulares (034)",74,15,14,36,9
"Ocupantes presentes (035)",275,50,50,152,23
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",487,79,92,215,101
"Ocupantes presentes (038)",1829,280,312,873,364
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",282,35,85,121,41
"Ocupantes presentes (041)",1130,154,355,475,146
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",17,2,2,12,1
"Ocupantes presentes (047)",56,6,8,37,5
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",9,2,4,3,
"Ocupantes presentes (050)",24,2,13,9,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",262,55,14,19,174
"Ocupantes presentes (056)",1220,223,43,92,862
"Casa independiente",,,,,
"Viviendas particulares (058)",252,54,14,19,165
"Ocupantes presentes (059)",1157,220,43,92,802
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",9,1,,,8
"Ocupantes presentes (071)",60,3,,,57
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (076)",1,,,,1
"Ocupantes presentes (077)",3,,,,3
"Otro tipo",,,,,
