"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia POMABAMBA (000)",10234,30818,27191,,579,88.2,1.9
"De 12 a 14 años (001)",1152,2,2,,,100,
"De 15 a 19 años (002)",1452,161,153,46,95,28.6,
"De 20 a 24 años (003)",1073,917,904,121,98.6,13.2,
"De 25 a 29 años (004)",908,1618,1579,145,97.6,9,
"De 30 a 34 años (005)",798,2422,2316,114,95.6,4.7,
"De 35 a 39 años (006)",825,3296,3112,85,94.4,2.6,
"De 40 a 44 años (007)",762,3719,3444,54,92.6,1.5,
"De 45 a 49 años (008)",623,3324,3007,13,90.5,0.4,
"De 50 y más años (009)",2641,15359,12674,1,82.5,,
"PEA (010)",1348,3706,3377,73,91.1,2,
"De 12 a 14 años (011)",19,,,,,,
"De 15 a 19 años (012)",105,20,17,5,85,25,
"De 20 a 24 años (013)",154,105,104,12,99,11.4,
"De 25 a 29 años (014)",188,256,249,21,97.3,8.2,
"De 30 a 34 años (015)",159,362,341,14,94.2,3.9,
"De 35 a 39 años (016)",186,531,500,16,94.2,3,
"De 40 a 44 años (017)",167,611,572,4,93.6,0.7,
"De 45 a 49 años (018)",120,502,489,1,97.4,0.2,
"De 50 y más años (019)",250,1319,1105,,83.8,,
"Ocupada (020)",1263,3624,3298,68,91,1.9,
"De 12 a 14 años (021)",18,,,,,,
"De 15 a 19 años (022)",92,18,15,4,83.3,22.2,
"De 20 a 24 años (023)",130,97,96,11,99,11.3,
"De 25 a 29 años (024)",170,243,236,18,97.1,7.4,
"De 30 a 34 años (025)",151,350,329,14,94,4,
"De 35 a 39 años (026)",179,524,494,16,94.3,3.1,
"De 40 a 44 años (027)",164,605,567,4,93.7,0.7,
"De 45 a 49 años (028)",116,488,475,1,97.3,0.2,
"De 50 y más años (029)",243,1299,1086,,83.6,,
"Desocupada (030)",85,82,79,5,96.3,6.1,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",13,2,2,1,100,50,
"De 20 a 24 años (033)",24,8,8,1,100,12.5,
"De 25 a 29 años (034)",18,13,13,3,100,23.1,
"De 30 a 34 años (035)",8,12,12,,100,,
"De 35 a 39 años (036)",7,7,6,,85.7,,
"De 40 a 44 años (037)",3,6,5,,83.3,,
"De 45 a 49 años (038)",4,14,14,,100,,
