"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHUPACA (000)",756,231,525
"De 14 a 29 años (001)",405,184,221
"De 30 a 44 años (002)",225,42,183
"De 45 a 64 años (003)",102,5,97
"De 65 y más años (004)",24,,24
"Hombres (005)",541,163,378
"De 14 a 29 años (006)",280,128,152
"De 30 a 44 años (007)",162,30,132
"De 45 a 64 años (008)",82,5,77
"De 65 y más años (009)",17,,17
"Mujeres (010)",215,68,147
"De 14 a 29 años (011)",125,56,69
"De 30 a 44 años (012)",63,12,51
"De 45 a 64 años (013)",20,,20
"De 65 y más años (014)",7,,7
,,,
"AREA URBANA (015)",497,141,356
"De 14 a 29 años (016)",271,114,157
"De 30 a 44 años (017)",146,24,122
"De 45 a 64 años (018)",65,3,62
"De 65 y más años (019)",15,,15
"Hombres (020)",336,100,236
"De 14 a 29 años (021)",178,79,99
"De 30 a 44 años (022)",100,18,82
"De 45 a 64 años (023)",49,3,46
"De 65 y más años (024)",9,,9
"Mujeres (025)",161,41,120
"De 14 a 29 años (026)",93,35,58
"De 30 a 44 años (027)",46,6,40
"De 45 a 64 años (028)",16,,16
"De 65 y más años (029)",6,,6
,,,
"AREA RURAL (030)",259,90,169
"De 14 a 29 años (031)",134,70,64
"De 30 a 44 años (032)",79,18,61
"De 45 a 64 años (033)",37,2,35
"De 65 y más años (034)",9,,9
"Hombres (035)",205,63,142
"De 14 a 29 años (036)",102,49,53
"De 30 a 44 años (037)",62,12,50
"De 45 a 64 años (038)",33,2,31
"De 65 y más años (039)",8,,8
"Mujeres (040)",54,27,27
"De 14 a 29 años (041)",32,21,11
"De 30 a 44 años (042)",17,6,11
"De 45 a 64 años (043)",4,,4
"De 65 y más años (044)",1,,1
