"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AREQUIPA (000)",362097,2711,118406,137817,90512,12651
"Empleado (001)",123509,353,42955,49949,28607,1645
"Obrero (002)",64450,365,25110,24019,13286,1670
"Trabajador independiente (003)",121496,460,28701,47733,37604,6998
"Empleador o patrono (004)",8097,4,1549,3151,2714,679
"Trabajador familiar no remunerado (005)",11183,954,3972,3098,2355,804
"Trabajador del hogar (006)",11966,454,6228,3080,1988,216
"Desocupado (008)",21396,121,9891,6787,3958,639
"Hombres (009)",209027,1461,66279,78415,54178,8694
"Empleado (010)",63712,184,20070,25924,16365,1169
"Obrero (011)",49291,293,19410,17802,10376,1410
"Trabajador independiente (012)",73089,306,18115,27968,22056,4644
"Empleador o patrono (013)",5427,3,989,2040,1870,525
"Trabajador familiar no remunerado (014)",4157,526,1889,757,595,390
"Trabajador del hogar (015)",654,81,343,102,96,32
"Desocupado (017)",12697,68,5463,3822,2820,524
"Mujeres (018)",153070,1250,52127,59402,36334,3957
"Empleado (019)",59797,169,22885,24025,12242,476
"Obrero (020)",15159,72,5700,6217,2910,260
"Trabajador independiente (021)",48407,154,10586,19765,15548,2354
"Empleador o patrono (022)",2670,1,560,1111,844,154
"Trabajador familiar no remunerado (023)",7026,428,2083,2341,1760,414
"Trabajador del hogar (024)",11312,373,5885,2978,1892,184
"Desocupado (026)",8699,53,4428,2965,1138,115
,,,,,,
"URBANA (027)",352436,2604,115357,134616,88012,11847
"Empleado (028)",122720,352,42648,49639,28453,1628
"Obrero (029)",60645,337,23690,22658,12419,1541
"Trabajador independiente (030)",118450,450,28040,46776,36622,6562
"Empleador o patrono (031)",7572,4,1507,3006,2509,546
"Trabajador familiar no remunerado (032)",10063,891,3542,2782,2121,727
"Trabajador del hogar (033)",11876,451,6176,3060,1974,215
"Desocupado (035)",21110,119,9754,6695,3914,628
"Hombres (036)",202432,1392,64280,76284,52441,8035
"Empleado (037)",63221,183,19896,25734,16251,1157
"Obrero (038)",46509,272,18381,16814,9743,1299
"Trabajador independiente (039)",70873,297,17656,27300,21343,4277
"Empleador o patrono (040)",4993,3,963,1927,1695,405
"Trabajador familiar no remunerado (041)",3696,489,1670,652,532,353
"Trabajador del hogar (042)",645,80,339,101,94,31
"Desocupado (044)",12495,68,5375,3756,2783,513
"Mujeres (045)",150004,1212,51077,58332,35571,3812
"Empleado (046)",59499,169,22752,23905,12202,471
"Obrero (047)",14136,65,5309,5844,2676,242
"Trabajador independiente (048)",47577,153,10384,19476,15279,2285
"Empleador o patrono (049)",2579,1,544,1079,814,141
"Trabajador familiar no remunerado (050)",6367,402,1872,2130,1589,374
"Trabajador del hogar (051)",11231,371,5837,2959,1880,184
"Desocupado (053)",8615,51,4379,2939,1131,115
,,,,,,
"RURAL (054)",9661,107,3049,3201,2500,804
"Empleado (055)",789,1,307,310,154,17
"Obrero (056)",3805,28,1420,1361,867,129
"Trabajador independiente (057)",3046,10,661,957,982,436
"Empleador o patrono (058)",525,,42,145,205,133
"Trabajador familiar no remunerado (059)",1120,63,430,316,234,77
"Trabajador del hogar (060)",90,3,52,20,14,1
"Desocupado (062)",286,2,137,92,44,11
"Hombres (063)",6595,69,1999,2131,1737,659
"Empleado (064)",491,1,174,190,114,12
"Obrero (065)",2782,21,1029,988,633,111
"Trabajador independiente (066)",2216,9,459,668,713,367
"Empleador o patrono (067)",434,,26,113,175,120
"Trabajador familiar no remunerado (068)",461,37,219,105,63,37
"Trabajador del hogar (069)",9,1,4,1,2,1
"Desocupado (071)",202,,88,66,37,11
"Mujeres (072)",3066,38,1050,1070,763,145
"Empleado (073)",298,,133,120,40,5
"Obrero (074)",1023,7,391,373,234,18
"Trabajador independiente (075)",830,1,202,289,269,69
"Empleador o patrono (076)",91,,16,32,30,13
"Trabajador familiar no remunerado (077)",659,26,211,211,171,40
"Trabajador del hogar (078)",81,2,48,19,12,
"Desocupado (080)",84,2,49,26,7,
