"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN ROMAN (000)",6778,2197,4581
"Sin nivel (001)",121,20,101
"Educación inicial (002)",7,5,2
"Primaria (003)",1023,226,797
"Secundaria (004)",3223,1158,2065
"Superior no univ. incompleta (005)",430,126,304
"Superior no univ. completa (006)",579,185,394
"Superior univ. incompleta (007)",462,173,289
"Superior univ. completa (008)",933,304,629
"De 14 a 29 años (010)",3753,1726,2027
"Sin nivel (011)",20,9,11
"Educación inicial (012)",4,4,
"Primaria (013)",266,124,142
"Secundaria (014)",2066,978,1088
"Superior no univ. incompleta (015)",280,100,180
"Superior no univ. completa (016)",332,138,194
"Superior univ. incompleta (017)",308,146,162
"Superior univ. completa (018)",477,227,250
"De 30 a 44 años (020)",2091,407,1684
"Sin nivel (021)",23,8,15
"Educación inicial (022)",3,1,2
"Primaria (023)",363,73,290
"Secundaria (024)",867,159,708
"Superior no univ. incompleta (025)",124,23,101
"Superior no univ. completa (026)",210,45,165
"Superior univ. incompleta (027)",118,26,92
"Superior univ. completa (028)",383,72,311
"De 45 a 64 años (030)",827,64,763
"Sin nivel (031)",50,3,47
"Primaria (033)",343,29,314
"Secundaria (034)",274,21,253
"Superior no univ. incompleta (035)",25,3,22
"Superior no univ. completa (036)",34,2,32
"Superior univ. incompleta (037)",34,1,33
"Superior univ. completa (038)",67,5,62
"De 65 y más años (040)",107,,107
"Sin nivel (041)",28,,28
"Primaria (043)",51,,51
"Secundaria (044)",16,,16
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",3,,3
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",6,,6
,,,
"AREA URBANA (050)",6450,2061,4389
"Sin nivel (051)",104,19,85
"Educación inicial (052)",6,5,1
"Primaria (053)",912,182,730
"Secundaria (054)",3055,1087,1968
"Superior no univ. incompleta (055)",427,124,303
"Superior no univ. completa (056)",565,178,387
"Superior univ. incompleta (057)",455,168,287
"Superior univ. completa (058)",926,298,628
"De 14 a 29 años (060)",3528,1604,1924
"Sin nivel (061)",15,8,7
"Educación inicial (062)",4,4,
"Primaria (063)",197,87,110
"Secundaria (064)",1934,911,1023
"Superior no univ. incompleta (065)",278,98,180
"Superior no univ. completa (066)",325,133,192
"Superior univ. incompleta (067)",303,141,162
"Superior univ. completa (068)",472,222,250
"De 30 a 44 años (070)",2022,394,1628
"Sin nivel (071)",20,8,12
"Educación inicial (072)",2,1,1
"Primaria (073)",337,67,270
"Secundaria (074)",837,155,682
"Superior no univ. incompleta (075)",123,23,100
"Superior no univ. completa (076)",205,43,162
"Superior univ. incompleta (077)",117,26,91
"Superior univ. completa (078)",381,71,310
"De 45 a 64 años (080)",798,63,735
"Sin nivel (081)",45,3,42
"Primaria (083)",328,28,300
"Secundaria (084)",268,21,247
"Superior no univ. incompleta (085)",25,3,22
"Superior no univ. completa (086)",32,2,30
"Superior univ. incompleta (087)",33,1,32
"Superior univ. completa (088)",67,5,62
"De 65 y más años (090)",102,,102
"Sin nivel (091)",24,,24
"Primaria (093)",50,,50
"Secundaria (094)",16,,16
"Superior no univ. incompleta (095)",1,,1
"Superior no univ. completa (096)",3,,3
"Superior univ. incompleta (097)",2,,2
"Superior univ. completa (098)",6,,6
,,,
"AREA RURAL (100)",328,136,192
"Sin nivel (101)",17,1,16
"Educación inicial (102)",1,,1
"Primaria (103)",111,44,67
"Secundaria (104)",168,71,97
"Superior no univ. incompleta (105)",3,2,1
"Superior no univ. completa (106)",14,7,7
"Superior univ. incompleta (107)",7,5,2
"Superior univ. completa (108)",7,6,1
"De 14 a 29 años (110)",225,122,103
"Sin nivel (111)",5,1,4
"Primaria (113)",69,37,32
"Secundaria (114)",132,67,65
"Superior no univ. incompleta (115)",2,2,
"Superior no univ. completa (116)",7,5,2
"Superior univ. incompleta (117)",5,5,
"Superior univ. completa (118)",5,5,
"De 30 a 44 años (120)",69,13,56
"Sin nivel (121)",3,,3
"Educación inicial (122)",1,,1
"Primaria (123)",26,6,20
"Secundaria (124)",30,4,26
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",5,2,3
"Superior univ. incompleta (127)",1,,1
"Superior univ. completa (128)",2,1,1
"De 45 a 64 años (130)",29,1,28
"Sin nivel (131)",5,,5
"Primaria (133)",15,1,14
"Secundaria (134)",6,,6
"Superior no univ. completa (136)",2,,2
"Superior univ. incompleta (137)",1,,1
"De 65 y más años (140)",5,,5
"Sin nivel (141)",4,,4
"Primaria (143)",1,,1
