"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARABAYA (000)",24576,3167,20,11608,7518,479,676,290,818
"Empleado (001)",1942,9,1,88,398,166,463,135,682
"Obrero (002)",3539,208,,1454,1630,113,69,41,24
"Trabajador independiente (003)",12110,1641,6,6303,3710,156,115,87,92
"Empleador o patrono (004)",301,35,,147,91,8,4,5,11
"Trabajador familiar no remunerado (005)",6535,1258,13,3543,1631,35,25,21,9
"Trabajador del hogar (006)",149,16,,73,58,1,,1,
"Hombres (008)",15403,1007,6,7114,5662,358,457,225,574
"Empleado (009)",1313,1,,43,288,111,291,107,472
"Obrero (010)",3028,95,,1195,1505,108,64,39,22
"Trabajador independiente (011)",8710,757,2,4716,2908,116,83,59,69
"Empleador o patrono (012)",228,19,,116,69,4,4,5,11
"Trabajador familiar no remunerado (013)",2095,134,4,1031,879,18,15,14,
"Trabajador del hogar (014)",29,1,,13,13,1,,1,
"Mujeres (016)",9173,2160,14,4494,1856,121,219,65,244
"Empleado (017)",629,8,1,45,110,55,172,28,210
"Obrero (018)",511,113,,259,125,5,5,2,2
"Trabajador independiente (019)",3400,884,4,1587,802,40,32,28,23
"Empleador o patrono (020)",73,16,,31,22,4,,,
"Trabajador familiar no remunerado (021)",4440,1124,9,2512,752,17,10,7,9
"Trabajador del hogar (022)",120,15,,60,45,,,,
,,,,,,,,,
"URBANA (024)",8154,659,2,2917,2901,311,492,206,666
"Empleado (025)",1503,7,,62,293,121,348,106,566
"Obrero (026)",1499,70,,533,740,67,45,27,17
"Trabajador independiente (027)",3814,397,1,1671,1432,101,82,56,74
"Empleador o patrono (028)",85,6,,30,35,3,3,3,5
"Trabajador familiar no remunerado (029)",1174,171,1,585,367,19,14,13,4
"Trabajador del hogar (030)",79,8,,36,34,,,1,
"Hombres (032)",5057,184,2,1661,2045,218,324,156,467
"Empleado (033)",1027,,,33,219,80,218,85,392
"Obrero (034)",1316,32,,449,689,63,42,25,16
"Trabajador independiente (035)",2304,131,1,1015,946,67,55,35,54
"Empleador o patrono (036)",56,2,,16,26,1,3,3,5
"Trabajador familiar no remunerado (037)",339,18,1,143,157,7,6,7,
"Trabajador del hogar (038)",15,1,,5,8,,,1,
"Mujeres (040)",3097,475,,1256,856,93,168,50,199
"Empleado (041)",476,7,,29,74,41,130,21,174
"Obrero (042)",183,38,,84,51,4,3,2,1
"Trabajador independiente (043)",1510,266,,656,486,34,27,21,20
"Empleador o patrono (044)",29,4,,14,9,2,,,
"Trabajador familiar no remunerado (045)",835,153,,442,210,12,8,6,4
"Trabajador del hogar (046)",64,7,,31,26,,,,
,,,,,,,,,
"RURAL (048)",16422,2508,18,8691,4617,168,184,84,152
"Empleado (049)",439,2,1,26,105,45,115,29,116
"Obrero (050)",2040,138,,921,890,46,24,14,7
"Trabajador independiente (051)",8296,1244,5,4632,2278,55,33,31,18
"Empleador o patrono (052)",216,29,,117,56,5,1,2,6
"Trabajador familiar no remunerado (053)",5361,1087,12,2958,1264,16,11,8,5
"Trabajador del hogar (054)",70,8,,37,24,1,,,
"Hombres (056)",10346,823,4,5453,3617,140,133,69,107
"Empleado (057)",286,1,,10,69,31,73,22,80
"Obrero (058)",1712,63,,746,816,45,22,14,6
"Trabajador independiente (059)",6406,626,1,3701,1962,49,28,24,15
"Empleador o patrono (060)",172,17,,100,43,3,1,2,6
"Trabajador familiar no remunerado (061)",1756,116,3,888,722,11,9,7,
"Trabajador del hogar (062)",14,,,8,5,1,,,
"Mujeres (064)",6076,1685,14,3238,1000,28,51,15,45
"Empleado (065)",153,1,1,16,36,14,42,7,36
"Obrero (066)",328,75,,175,74,1,2,,1
"Trabajador independiente (067)",1890,618,4,931,316,6,5,7,3
"Empleador o patrono (068)",44,12,,17,13,2,,,
"Trabajador familiar no remunerado (069)",3605,971,9,2070,542,5,2,1,5
"Trabajador del hogar (070)",56,8,,29,19,,,,
