"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MOYOBAMBA (000)",98918,25831,32400,22302,13727,4658
"Hombres (001)",51323,13189,16634,11655,7524,2321
"Mujeres (002)",47595,12642,15766,10647,6203,2337
"PEA (003)",42629,1442,16223,14581,8663,1720
"Hombres (004)",31386,1050,11999,10447,6509,1381
"Mujeres (005)",11243,392,4224,4134,2154,339
"Ocupada (006)",41625,1386,15665,14330,8556,1688
"Hombres (007)",30652,1023,11607,10249,6419,1354
"Mujeres (008)",10973,363,4058,4081,2137,334
"Desocupada (009)",1004,56,558,251,107,32
"Hombres (010)",734,27,392,198,90,27
"Mujeres (011)",270,29,166,53,17,5
"No PEA (012)",56289,24389,16177,7721,5064,2938
"Hombres (013)",19937,12139,4635,1208,1015,940
"Mujeres (014)",36352,12250,11542,6513,4049,1998
,,,,,,
"URBANA (018)",60085,14204,18896,14385,9243,3357
"Hombres (019)",30163,7191,9257,7143,4987,1585
"Mujeres (020)",29922,7013,9639,7242,4256,1772
"PEA (021)",26983,682,9273,9893,6044,1091
"Hombres (022)",17938,479,6035,6367,4249,808
"Mujeres (023)",9045,203,3238,3526,1795,283
"Ocupada (024)",26273,654,8883,9707,5963,1066
"Hombres (025)",17457,468,5789,6231,4181,788
"Mujeres (026)",8816,186,3094,3476,1782,278
"Desocupada (027)",710,28,390,186,81,25
"Hombres (028)",481,11,246,136,68,20
"Mujeres (029)",229,17,144,50,13,5
"No PEA (030)",33102,13522,9623,4492,3199,2266
"Hombres (031)",12225,6712,3222,776,738,777
"Mujeres (032)",20877,6810,6401,3716,2461,1489
,,,,,,
"RURAL (036)",38833,11627,13504,7917,4484,1301
"Hombres (037)",21160,5998,7377,4512,2537,736
"Mujeres (038)",17673,5629,6127,3405,1947,565
"PEA (039)",15646,760,6950,4688,2619,629
"Hombres (040)",13448,571,5964,4080,2260,573
"Mujeres (041)",2198,189,986,608,359,56
"Ocupada (042)",15352,732,6782,4623,2593,622
"Hombres (043)",13195,555,5818,4018,2238,566
"Mujeres (044)",2157,177,964,605,355,56
"Desocupada (045)",294,28,168,65,26,7
"Hombres (046)",253,16,146,62,22,7
"Mujeres (047)",41,12,22,3,4,
"No PEA (048)",23187,10867,6554,3229,1865,672
"Hombres (049)",7712,5427,1413,432,277,163
"Mujeres (050)",15475,5440,5141,2797,1588,509
