"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia ASCOPE",,,,,,,,,
"Viviendas particulares (001)",27487,12677,766,249,110,11103,467,1767,348
"Ocupantes presentes (002)",115652,54531,3123,931,410,47344,1794,6290,1229
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",27002,12486,712,246,101,10955,459,1700,343
"Ocupantes presentes (005)",113931,53803,2964,918,378,46817,1778,6058,1215
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",29,23,6,,,,,,
"Ocupantes presentes (008)",115,97,18,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",67,30,28,,,,,9,
"Ocupantes presentes (011)",212,93,90,,,,,29,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",157,47,18,,7,77,,8,
"Ocupantes presentes (014)",581,187,47,,24,301,,22,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",74,,,2,,63,7,2,
"Ocupantes presentes (017)",233,,,8,,205,15,5,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",138,85,1,1,2,1,,44,4
"Ocupantes presentes (020)",528,335,3,5,8,3,,162,12
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",19,6,1,,,7,,4,1
"Ocupantes presentes (023)",51,16,1,,,18,,14,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",1,,,,,,1,,
"Ocupantes presentes (026)",1,,,,,,1,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",24067,11986,701,187,96,9061,75,1670,291
"Ocupantes presentes (029)",101653,51664,2835,704,365,38905,260,5911,1009
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",23658,11795,647,186,87,8976,75,1606,286
"Ocupantes presentes (032)",100171,50936,2676,699,333,38583,260,5689,995
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",29,23,6,,,,,,
"Ocupantes presentes (035)",115,97,18,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",67,30,28,,,,,9,
"Ocupantes presentes (038)",212,93,90,,,,,29,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",157,47,18,,7,77,,8,
"Ocupantes presentes (041)",581,187,47,,24,301,,22,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",138,85,1,1,2,1,,44,4
"Ocupantes presentes (047)",528,335,3,5,8,3,,162,12
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",18,6,1,,,7,,3,1
"Ocupantes presentes (050)",46,16,1,,,18,,9,2
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3420,691,65,62,14,2042,392,97,57
"Ocupantes presentes (056)",13999,2867,288,227,45,8439,1534,379,220
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3344,691,65,60,14,1979,384,94,57
"Ocupantes presentes (059)",13760,2867,288,219,45,8234,1518,369,220
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",74,,,2,,63,7,2,
"Ocupantes presentes (071)",233,,,8,,205,15,5,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,1,
"Ocupantes presentes (077)",5,,,,,,,5,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,1,,
"Ocupantes presentes (080)",1,,,,,,1,,
