"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia EL COLLAO (000)",21954,144,6840,7806,2545,811,352,157,38,,3261
"Sin Nivel (001)",5480,46,1707,1943,643,271,115,82,16,,657
"Educación Inicial (002)",13,1,3,6,1,,,,,,2
"Primaria (003)",8811,63,3030,3128,1021,330,180,56,19,,984
"Secundaria (004)",6019,33,1895,2217,586,123,40,12,,,1113
"Sup. no Univ. Incompleta (005)",400,1,68,138,56,12,3,,,,122
"Sup. no Univ. Completa (006)",601,,72,192,117,33,4,4,,,179
"Sup. Univ. Incompleta (007)",207,,32,61,27,10,2,1,,,74
"Sup. Univ. Completa (008)",423,,33,121,94,32,8,2,3,,130
,,,,,,,,,,,
"URBANA (010)",6448,37,1778,2115,838,297,151,39,15,,1178
"Sin Nivel (011)",718,6,210,201,83,45,36,12,6,,119
"Educación Inicial (012)",4,,2,2,,,,,,,
"Primaria (013)",2162,19,694,705,271,107,77,14,6,,269
"Secundaria (014)",2313,12,721,809,248,74,23,7,,,419
"Sup. no Univ. Incompleta (015)",276,,47,100,42,10,3,,,,74
"Sup. no Univ. Completa (016)",448,,52,141,94,28,3,3,,,127
"Sup. Univ. Incompleta (017)",167,,24,50,23,7,2,1,,,60
"Sup. Univ. Completa (018)",360,,28,107,77,26,7,2,3,,110
,,,,,,,,,,,
"RURAL (020)",15506,107,5062,5691,1707,514,201,118,23,,2083
"Sin Nivel (021)",4762,40,1497,1742,560,226,79,70,10,,538
"Educación Inicial (022)",9,1,1,4,1,,,,,,2
"Primaria (023)",6649,44,2336,2423,750,223,103,42,13,,715
"Secundaria (024)",3706,21,1174,1408,338,49,17,5,,,694
"Sup. no Univ. Incompleta (025)",124,1,21,38,14,2,,,,,48
"Sup. no Univ. Completa (026)",153,,20,51,23,5,1,1,,,52
"Sup. Univ. Incompleta (027)",40,,8,11,4,3,,,,,14
"Sup. Univ. Completa (028)",63,,5,14,17,6,1,,,,20
