"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",26354,492,8131,6538,5180,3933,2080
"Casa independiente (001)",26147,486,8064,6479,5132,3909,2077
"Vivienda en quinta (003)",69,1,23,20,20,4,1
"Vivienda en casa de vecindad (004)",16,,6,3,5,2,
"Choza o cabaña (005)",94,4,29,28,17,14,2
"Vivienda improvisada (006)",7,,2,2,3,,
"Local no destinado para hab.humana (007)",13,1,3,5,1,3,
"Otro tipo (008)",8,,4,1,2,1,
,,,,,,,
"URBANA (009)",8560,145,2428,1959,1860,1424,744
"Casa independiente (010)",8460,143,2395,1932,1830,1417,743
"Vivienda en quinta (012)",69,1,23,20,20,4,1
"Vivienda en casa de vecindad (013)",16,,6,3,5,2,
"Vivienda improvisada (015)",7,,2,2,3,,
"Local no destinado para hab.humana (016)",4,1,,2,,1,
"Otro tipo (017)",4,,2,,2,,
,,,,,,,
"RURAL (018)",17794,347,5703,4579,3320,2509,1336
"Casa independiente (019)",17687,343,5669,4547,3302,2492,1334
"Choza o cabaña (023)",94,4,29,28,17,14,2
"Local no destinado para hab.humana (025)",9,,3,3,1,2,
"Otro tipo (026)",4,,2,1,,1,
