"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TACNA (000)",258846,4174,66328,76885,60114,39196,12149
"Jefe o Jefa (001)",75789,,193,14239,29558,24562,7237
"Esposa(o) / compañera(o) (002)",38280,,72,9138,16610,10456,2004
"Hijo(a) / hijastro(a) (003)",101285,2921,52579,36792,7863,1110,20
"Yerno / nuera (004)",3698,,24,2116,1374,182,2
"Nieto(a) (005)",10486,893,7838,1642,109,4,
"Padres / suegros (006)",3207,,,1,102,1016,2088
"Otro(a) pariente (007)",19415,304,4942,9335,2974,1235,625
"Trabajador(a) del hogar (008)",667,,29,512,71,47,8
"Pensionistas (009)",494,,24,305,117,39,9
"Otro(a) no pariente (010)",5525,56,627,2805,1336,545,156
"Hombres (011)",127449,2099,33908,37123,28607,19590,6122
"Jefe o Jefa (012)",50274,,92,8924,19726,16623,4909
"Esposa(o) / compañera(o) (013)",3844,,51,1147,1554,900,192
"Hijo(a) / hijastro(a) (014)",51865,1462,26905,18919,3977,590,12
"Yerno / nuera (015)",1865,,9,882,844,130,
"Nieto(a) (016)",5364,456,3989,860,57,2,
"Padres / suegros (017)",1032,,,,39,314,679
"Otro(a) pariente (018)",10048,157,2543,4850,1600,664,234
"Trabajador(a) del hogar (019)",44,,4,26,7,5,2
"Pensionistas (020)",280,,13,163,73,24,7
"Otro(a) no pariente (021)",2833,24,302,1352,730,338,87
"Mujeres (022)",131397,2075,32420,39762,31507,19606,6027
"Jefe o Jefa (023)",25515,,101,5315,9832,7939,2328
"Esposa(o) / compañera(o) (024)",34436,,21,7991,15056,9556,1812
"Hijo(a) / hijastro(a) (025)",49420,1459,25674,17873,3886,520,8
"Yerno / nuera (026)",1833,,15,1234,530,52,2
"Nieto(a) (027)",5122,437,3849,782,52,2,
"Padres / suegros (028)",2175,,,1,63,702,1409
"Otro(a) pariente (029)",9367,147,2399,4485,1374,571,391
"Trabajador(a) del hogar (030)",623,,25,486,64,42,6
"Pensionistas (031)",214,,11,142,44,15,2
"Otro(a) no pariente (032)",2692,32,325,1453,606,207,69
,,,,,,,
"URBANA (033)",242401,3960,62414,72316,56514,36282,10915
"Jefe o Jefa (034)",70270,,186,13291,27724,22653,6416
"Esposa(o) / compañera(o) (035)",35513,,69,8408,15602,9679,1755
"Hijo(a) / hijastro(a) (036)",95368,2752,49356,34763,7436,1041,20
"Yerno / nuera (037)",3527,,23,2014,1318,170,2
"Nieto(a) (038)",9957,859,7434,1554,106,4,
"Padres / suegros (039)",3055,,,1,98,982,1974
"Otro(a) pariente (040)",18504,297,4703,8923,2821,1172,588
"Trabajador(a) del hogar (041)",653,,29,503,68,45,8
"Pensionistas (042)",473,,24,294,109,37,9
"Otro(a) no pariente (043)",5081,52,590,2565,1232,499,143
"Hombres (044)",118442,1988,31866,34616,26622,17937,5413
"Jefe o Jefa (045)",46002,,86,8188,18261,15172,4295
"Esposa(o) / compañera(o) (046)",3696,,49,1117,1505,853,172
"Hijo(a) / hijastro(a) (047)",48665,1377,25253,17754,3726,543,12
"Yerno / nuera (048)",1782,,9,838,815,120,
"Nieto(a) (049)",5047,436,3750,803,56,2,
"Padres / suegros (050)",969,,,,36,298,635
"Otro(a) pariente (051)",9486,154,2423,4564,1503,626,216
"Trabajador(a) del hogar (052)",39,,4,23,6,4,2
"Pensionistas (053)",264,,13,155,67,22,7
"Otro(a) no pariente (054)",2492,21,279,1174,647,297,74
"Mujeres (055)",123959,1972,30548,37700,29892,18345,5502
"Jefe o Jefa (056)",24268,,100,5103,9463,7481,2121
"Esposa(o) / compañera(o) (057)",31817,,20,7291,14097,8826,1583
"Hijo(a) / hijastro(a) (058)",46703,1375,24103,17009,3710,498,8
"Yerno / nuera (059)",1745,,14,1176,503,50,2
"Nieto(a) (060)",4910,423,3684,751,50,2,
"Padres / suegros (061)",2086,,,1,62,684,1339
"Otro(a) pariente (062)",9018,143,2280,4359,1318,546,372
"Trabajador(a) del hogar (063)",614,,25,480,62,41,6
"Pensionistas (064)",209,,11,139,42,15,2
"Otro(a) no pariente (065)",2589,31,311,1391,585,202,69
,,,,,,,
"RURAL (066)",16445,214,3914,4569,3600,2914,1234
"Jefe o Jefa (067)",5519,,7,948,1834,1909,821
"Esposa(o) / compañera(o) (068)",2767,,3,730,1008,777,249
"Hijo(a) / hijastro(a) (069)",5917,169,3223,2029,427,69,
"Yerno / nuera (070)",171,,1,102,56,12,
"Nieto(a) (071)",529,34,404,88,3,,
"Padres / suegros (072)",152,,,,4,34,114
"Otro(a) pariente (073)",911,7,239,412,153,63,37
"Trabajador(a) del hogar (074)",14,,,9,3,2,
"Pensionistas (075)",21,,,11,8,2,
"Otro(a) no pariente (076)",444,4,37,240,104,46,13
"Hombres (077)",9007,111,2042,2507,1985,1653,709
"Jefe o Jefa (078)",4272,,6,736,1465,1451,614
"Esposa(o) / compañera(o) (079)",148,,2,30,49,47,20
"Hijo(a) / hijastro(a) (080)",3200,85,1652,1165,251,47,
"Yerno / nuera (081)",83,,,44,29,10,
"Nieto(a) (082)",317,20,239,57,1,,
"Padres / suegros (083)",63,,,,3,16,44
"Otro(a) pariente (084)",562,3,120,286,97,38,18
"Trabajador(a) del hogar (085)",5,,,3,1,1,
"Pensionistas (086)",16,,,8,6,2,
"Otro(a) no pariente (087)",341,3,23,178,83,41,13
"Mujeres (088)",7438,103,1872,2062,1615,1261,525
"Jefe o Jefa (089)",1247,,1,212,369,458,207
"Esposa(o) / compañera(o) (090)",2619,,1,700,959,730,229
"Hijo(a) / hijastro(a) (091)",2717,84,1571,864,176,22,
"Yerno / nuera (092)",88,,1,58,27,2,
"Nieto(a) (093)",212,14,165,31,2,,
