"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTABAMBA (000)",10506,1621,142,4736,3071,222,276,127,311
"Hombres (001)",5341,361,79,2446,1835,146,180,88,206
"Mujeres (002)",5165,1260,63,2290,1236,76,96,39,105
"PEA (003)",4180,605,5,1479,1364,158,225,80,264
"Hombres (004)",2738,212,3,993,1031,112,152,63,172
"Mujeres (005)",1442,393,2,486,333,46,73,17,92
"Ocupada (006)",4079,599,5,1447,1315,156,220,78,259
"Hombres (007)",2650,208,3,965,987,110,147,61,169
"Mujeres (008)",1429,391,2,482,328,46,73,17,90
"Desocupada (009)",101,6,,32,49,2,5,2,5
"Hombres (010)",88,4,,28,44,2,5,2,3
"Mujeres (011)",13,2,,4,5,,,,2
"No PEA (012)",6326,1016,137,3257,1707,64,51,47,47
"Hombres (013)",2603,149,76,1453,804,34,28,25,34
"Mujeres (014)",3723,867,61,1804,903,30,23,22,13
,,,,,,,,,
"URBANA (018)",7445,852,109,3203,2461,186,241,110,283
"Hombres (019)",3708,147,57,1554,1421,120,152,73,184
"Mujeres (020)",3737,705,52,1649,1040,66,89,37,99
"PEA (021)",2708,258,3,811,1010,127,194,67,238
"Hombres (022)",1706,64,2,486,737,88,126,51,152
"Mujeres (023)",1002,194,1,325,273,39,68,16,86
"Ocupada (024)",2629,252,3,788,970,127,190,66,233
"Hombres (025)",1639,60,2,466,702,88,122,50,149
"Mujeres (026)",990,192,1,322,268,39,68,16,84
"Desocupada (027)",79,6,,23,40,,4,1,5
"Hombres (028)",67,4,,20,35,,4,1,3
"Mujeres (029)",12,2,,3,5,,,,2
"No PEA (030)",4737,594,106,2392,1451,59,47,43,45
"Hombres (031)",2002,83,55,1068,684,32,26,22,32
"Mujeres (032)",2735,511,51,1324,767,27,21,21,13
,,,,,,,,,
"RURAL (036)",3061,769,33,1533,610,36,35,17,28
"Hombres (037)",1633,214,22,892,414,26,28,15,22
"Mujeres (038)",1428,555,11,641,196,10,7,2,6
"PEA (039)",1472,347,2,668,354,31,31,13,26
"Hombres (040)",1032,148,1,507,294,24,26,12,20
"Mujeres (041)",440,199,1,161,60,7,5,1,6
"Ocupada (042)",1450,347,2,659,345,29,30,12,26
"Hombres (043)",1011,148,1,499,285,22,25,11,20
"Mujeres (044)",439,199,1,160,60,7,5,1,6
"Desocupada (045)",22,,,9,9,2,1,1,
"Hombres (046)",21,,,8,9,2,1,1,
"Mujeres (047)",1,,,1,,,,,
"No PEA (048)",1589,422,31,865,256,5,4,4,2
"Hombres (049)",601,66,21,385,120,2,2,3,2
"Mujeres (050)",988,356,10,480,136,3,2,1,
