"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PURUS (000)",3352,2105,369,74,808
"Quechua (001)",20,3,3,2,13
"Aymara (002)",6,,5,,1
"Asháninka (003)",78,47,,,31
"Otra lengua nativa (004)",2220,1730,121,2,368
"Castellano (005)",1011,317,240,68,388
"Idioma Extranjero (006)",12,4,,2,6
"Es Sordomudo/a (007)",5,4,,,1
"Hombres (009)",1805,1043,222,66,476
"Quechua (010)",10,1,2,1,6
"Aymara (011)",5,,5,,
"Asháninka (012)",41,18,,,23
"Otra lengua nativa (013)",1114,843,78,1,192
"Castellano (014)",627,178,137,63,251
"Idioma Extranjero (015)",6,1,,1,4
"Es Sordomudo/a (016)",2,2,,,
"Mujeres (018)",1547,1062,147,8,332
"Quechua (019)",10,2,1,1,7
"Aymara (020)",1,,,,1
"Asháninka (021)",37,29,,,8
"Otra lengua nativa (022)",1106,887,43,1,176
"Castellano (023)",384,139,103,5,137
"Idioma Extranjero (024)",6,3,,1,2
"Es Sordomudo/a (025)",3,2,,,1
,,,,,
"URBANA (027)",1143,402,260,55,429
"Quechua (028)",10,2,2,2,5
"Aymara (029)",2,,1,,1
"Asháninka (030)",14,6,,,8
"Otra lengua nativa (031)",334,185,58,1,90
"Castellano (032)",775,206,199,52,320
"Idioma Extranjero (033)",7,3,,,4
"Es Sordomudo/a (034)",1,,,,1
"Hombres (036)",647,200,149,50,250
"Quechua (037)",3,,1,1,1
"Aymara (038)",1,,1,,
"Asháninka (039)",7,1,,,6
"Otra lengua nativa (040)",164,84,38,1,41
"Castellano (041)",469,114,109,48,200
"Idioma Extranjero (042)",3,1,,,2
"Mujeres (045)",496,202,111,5,179
"Quechua (046)",7,2,1,1,4
"Aymara (047)",1,,,,1
"Asháninka (048)",7,5,,,2
"Otra lengua nativa (049)",170,101,20,,49
"Castellano (050)",306,92,90,4,120
"Idioma Extranjero (051)",4,2,,,2
"Es Sordomudo/a (052)",1,,,,1
,,,,,
"RURAL (054)",2209,1703,109,19,379
"Quechua (055)",10,1,1,,8
"Aymara (056)",4,,4,,
"Asháninka (057)",64,41,,,23
"Otra lengua nativa (058)",1886,1545,63,1,278
"Castellano (059)",236,111,41,16,68
"Idioma Extranjero (060)",5,1,,2,2
"Es Sordomudo/a (061)",4,4,,,
"Hombres (063)",1158,843,73,16,226
"Quechua (064)",7,1,1,,5
"Aymara (065)",4,,4,,
"Asháninka (066)",34,17,,,17
"Otra lengua nativa (067)",950,759,40,,151
"Castellano (068)",158,64,28,15,51
"Idioma Extranjero (069)",3,,,1,2
"Es Sordomudo/a (070)",2,2,,,
"Mujeres (072)",1051,860,36,3,153
"Quechua (073)",3,,,,3
"Asháninka (075)",30,24,,,6
"Otra lengua nativa (076)",936,786,23,1,127
"Castellano (077)",78,47,13,1,17
"Idioma Extranjero (078)",2,1,,1,
"Es Sordomudo/a (079)",2,2,,,
