"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SANTA (000)",156601,148825,45613,24722,24731,17867,19593,9156,7143,7776
"Católica (001)",114674,108758,33587,18785,18705,13184,13714,6127,4656,5916
"Cristiana/Evangélica (002)",29330,28146,7735,3837,4136,3424,4522,2425,2067,1184
"Otra (003)",6081,5748,1898,815,875,687,792,391,290,333
"Ninguna (004)",6516,6173,2393,1285,1015,572,565,213,130,343
,,,,,,,,,,
"URBANA (006)",147674,140077,43138,23576,23680,17044,18290,8261,6088,7597
"Católica (007)",107947,102173,31687,17883,17900,12541,12750,5473,3939,5774
"Cristiana/Evangélica (008)",27699,26541,7364,3669,3961,3285,4269,2218,1775,1158
"Otra (009)",5919,5588,1851,802,855,670,762,374,274,331
"Ninguna (010)",6109,5775,2236,1222,964,548,509,196,100,334
,,,,,,,,,,
"RURAL (012)",8927,8748,2475,1146,1051,823,1303,895,1055,179
"Católica (013)",6727,6585,1900,902,805,643,964,654,717,142
"Cristiana/Evangélica (014)",1631,1605,371,168,175,139,253,207,292,26
"Otra (015)",162,160,47,13,20,17,30,17,16,2
"Ninguna (016)",407,398,157,63,51,24,56,17,30,9
