"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN ROMAN (000)",227319,11639,29140,6456,180367
"Quechua (001)",67746,2689,6660,1619,56825
"Aymara (002)",19399,360,1927,370,16761
"Asháninka (003)",48,3,5,7,35
"Otra lengua nativa (004)",60,5,9,8,38
"Castellano (005)",139850,8569,20519,4438,106538
"Idioma Extranjero (006)",40,,5,9,26
"Es Sordomudo/a (007)",176,13,15,5,144
"Hombres (009)",111290,5412,14282,3981,87790
"Quechua (010)",31274,1118,3279,1031,25875
"Aymara (011)",9530,159,1052,260,8070
"Asháninka (012)",22,1,3,5,15
"Otra lengua nativa (013)",27,4,6,5,12
"Castellano (014)",70324,4126,9932,2671,53728
"Idioma Extranjero (015)",23,,2,7,14
"Es Sordomudo/a (016)",90,4,8,2,76
"Mujeres (018)",116029,6227,14858,2475,92577
"Quechua (019)",36472,1571,3381,588,30950
"Aymara (020)",9869,201,875,110,8691
"Asháninka (021)",26,2,2,2,20
"Otra lengua nativa (022)",33,1,3,3,26
"Castellano (023)",69526,4443,10587,1767,52810
"Idioma Extranjero (024)",17,,3,2,12
"Es Sordomudo/a (025)",86,9,7,3,68
,,,,,
"URBANA (027)",208298,9295,28196,5979,165083
"Quechua (028)",54112,1535,6081,1304,45237
"Aymara (029)",19270,355,1915,366,16653
"Asháninka (030)",48,3,5,7,35
"Otra lengua nativa (031)",59,5,9,8,37
"Castellano (032)",134624,7387,20168,4281,102976
"Idioma Extranjero (033)",30,,3,9,18
"Es Sordomudo/a (034)",155,10,15,4,127
"Hombres (036)",102227,4300,13779,3714,80599
"Quechua (037)",25003,585,2977,853,20617
"Aymara (038)",9472,156,1045,259,8023
"Asháninka (039)",22,1,3,5,15
"Otra lengua nativa (040)",27,4,6,5,12
"Castellano (041)",67606,3552,9738,2583,51856
"Idioma Extranjero (042)",19,,2,7,10
"Es Sordomudo/a (043)",78,2,8,2,66
"Mujeres (045)",106071,4995,14417,2265,84484
"Quechua (046)",29109,950,3104,451,24620
"Aymara (047)",9798,199,870,107,8630
"Asháninka (048)",26,2,2,2,20
"Otra lengua nativa (049)",32,1,3,3,25
"Castellano (050)",67018,3835,10430,1698,51120
"Idioma Extranjero (051)",11,,1,2,8
"Es Sordomudo/a (052)",77,8,7,2,61
,,,,,
"RURAL (054)",19021,2344,944,477,15284
"Quechua (055)",13634,1154,579,315,11588
"Aymara (056)",129,5,12,4,108
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",5226,1182,351,157,3562
"Idioma Extranjero (060)",10,,2,,8
"Es Sordomudo/a (061)",21,3,,1,17
"Hombres (063)",9063,1112,503,267,7191
"Quechua (064)",6271,533,302,178,5258
"Aymara (065)",58,3,7,1,47
"Castellano (068)",2718,574,194,88,1872
"Idioma Extranjero (069)",4,,,,4
"Es Sordomudo/a (070)",12,2,,,10
"Mujeres (072)",9958,1232,441,210,8093
"Quechua (073)",7363,621,277,137,6330
"Aymara (074)",71,2,5,3,61
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",2508,608,157,69,1690
"Idioma Extranjero (078)",6,,2,,4
"Es Sordomudo/a (079)",9,1,,1,7
