"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ESPINAR (000)",16076,5715,10361
"Red pública dentro de la vivienda (001)",4174,3338,836
"Red pública fuera de la vivienda (002)",2350,1879,471
"Pilón de uso público (003)",825,85,740
"Camión - cisterna u otro similar (004)",29,16,13
"Pozo (005)",1722,116,1606
"Río, acequia, manatial o similar (006)",6479,162,6317
"Vecino (007)",356,102,254
"Otro (008)",141,17,124
,,,
"URBANA (010)",6764,5568,1196
"Red pública dentro de la vivienda (011)",3828,3313,515
"Red pública fuera de la vivienda (012)",2210,1874,336
"Pilón de uso público (013)",129,74,55
"Camión - cisterna u otro similar (014)",18,16,2
"Pozo (015)",161,107,54
"Río, acequia, manatial o similar (016)",133,78,55
"Vecino (017)",224,89,135
"Otro (018)",61,17,44
,,,
"RURAL (020)",9312,147,9165
"Red pública dentro de la vivienda (021)",346,25,321
"Red pública fuera de la vivienda (022)",140,5,135
"Pilón de uso público (023)",696,11,685
"Camión - cisterna u otro similar (024)",11,,11
"Pozo (025)",1561,9,1552
"Río, acequia, manatial o similar (026)",6346,84,6262
"Vecino (027)",132,13,119
"Otro (028)",80,,80
