"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia NAZCA",,,,,,,
"Viviendas particulares (001)",15292,2104,1293,1828,6123,2772,1172
"Ocupantes presentes (002)",55899,6919,4354,7139,24006,9426,4055
"Casa independiente",,,,,,,
"Viviendas particulares (004)",13853,1703,978,1782,5793,2579,1018
"Ocupantes presentes (005)",51819,5928,3577,6989,22936,8813,3576
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",115,59,,7,15,25,9
"Ocupantes presentes (008)",361,153,,25,74,91,18
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",249,173,,15,42,8,11
"Ocupantes presentes (011)",661,415,,54,140,16,36
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",180,102,,5,29,35,9
"Ocupantes presentes (014)",509,265,,13,109,90,32
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",349,10,17,14,123,82,103
"Ocupantes presentes (017)",1155,34,53,52,397,275,344
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",390,16,298,5,35,25,11
"Ocupantes presentes (020)",1005,46,724,6,122,85,22
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",32,15,,,2,12,3
"Ocupantes presentes (023)",84,29,,,5,45,5
"Otro tipo",,,,,,,
"Viviendas particulares (025)",124,26,,,84,6,8
"Ocupantes presentes (026)",305,49,,,223,11,22
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",13245,2047,1181,1712,5403,2030,872
"Ocupantes presentes (029)",48937,6720,3978,6672,21523,6969,3075
"Casa independiente",,,,,,,
"Viviendas particulares (031)",12157,1657,883,1680,5196,1920,821
"Ocupantes presentes (032)",46021,5766,3254,6574,20850,6637,2940
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",115,59,,7,15,25,9
"Ocupantes presentes (035)",361,153,,25,74,91,18
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",249,173,,15,42,8,11
"Ocupantes presentes (038)",661,415,,54,140,16,36
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",180,102,,5,29,35,9
"Ocupantes presentes (041)",509,265,,13,109,90,32
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",390,16,298,5,35,25,11
"Ocupantes presentes (047)",1005,46,724,6,122,85,22
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",31,15,,,2,11,3
"Ocupantes presentes (050)",78,29,,,5,39,5
"Otro tipo",,,,,,,
"Viviendas particulares (052)",123,25,,,84,6,8
"Ocupantes presentes (053)",302,46,,,223,11,22
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",2047,57,112,116,720,742,300
"Ocupantes presentes (056)",6962,199,376,467,2483,2457,980
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1696,46,95,102,597,659,197
"Ocupantes presentes (059)",5798,162,323,415,2086,2176,636
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",349,10,17,14,123,82,103
"Ocupantes presentes (071)",1155,34,53,52,397,275,344
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,1,
"Ocupantes presentes (077)",6,,,,,6,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,1,,,,,
"Ocupantes presentes (080)",3,3,,,,,
