"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUERTO INCA (000)",10588,9497,553,180,358
"Empleado (001)",734,240,106,82,306
"Obrero (002)",1895,1544,213,90,48
"Trabajador independiente (003)",5699,5547,152,,
"Empleador o patrono (004)",118,103,13,1,1
"Trabajador familiar no remunerado (005)",1942,1863,69,7,3
"Trabajador del hogar (006)",200,200,,,
"De 06 a 14 años (008)",445,429,13,3,
"Empleado (009)",4,4,,,
"Obrero (010)",67,62,4,1,
"Trabajador independiente (011)",6,5,1,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",352,342,8,2,
"Trabajador del hogar (014)",15,15,,,
"De 15 a 29 años (016)",4029,3638,217,64,110
"Empleado (017)",239,106,26,23,84
"Obrero (018)",977,810,106,37,24
"Trabajador independiente (019)",1549,1509,40,,
"Empleador o patrono (020)",28,26,1,,1
"Trabajador familiar no remunerado (021)",1112,1063,44,4,1
"Trabajador del hogar (022)",124,124,,,
"De 30 a 44 años (024)",3484,3016,207,79,182
"Empleado (025)",369,94,64,43,168
"Obrero (026)",504,394,62,35,13
"Trabajador independiente (027)",2216,2151,65,,
"Empleador o patrono (028)",50,45,5,,
"Trabajador familiar no remunerado (029)",306,293,11,1,1
"Trabajador del hogar (030)",39,39,,,
"De 45 a 64 años (032)",2184,1990,98,30,66
"Empleado (033)",120,36,15,15,54
"Obrero (034)",295,232,38,14,11
"Trabajador independiente (035)",1574,1539,35,,
"Empleador o patrono (036)",34,28,5,1,
"Trabajador familiar no remunerado (037)",141,135,5,,1
"Trabajador del hogar (038)",20,20,,,
"De 65 y más años (040)",446,424,18,4,
"Empleado (041)",2,,1,1,
"Obrero (042)",52,46,3,3,
"Trabajador independiente (043)",354,343,11,,
"Empleador o patrono (044)",5,3,2,,
"Trabajador familiar no remunerado (045)",31,30,1,,
"Trabajador del hogar (046)",2,2,,,
,,,,,
"URBANA (048)",2135,1594,174,122,245
"Empleado (049)",429,96,51,68,214
"Obrero (050)",471,328,61,52,30
"Trabajador independiente (051)",979,934,45,,
"Empleador o patrono (052)",35,29,6,,
"Trabajador familiar no remunerado (053)",171,157,11,2,1
"Trabajador del hogar (054)",50,50,,,
"De 06 a 14 años (056)",33,29,3,1,
