"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ABANCAY (000)",32365,18713,13652
"Casa independiente (001)",28441,15439,13002
"Departamento en edificio (002)",351,351,
"Vivienda en quinta (003)",147,147,
"Vivienda en casa de vecindad (004)",2704,2704,
"Choza o cabaña (005)",645,,645
"Vivienda improvisada (006)",30,30,
"Local no dest.para hab. humana (007)",34,30,4
"Otro tipo (008)",13,12,1
