"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",24250,351,5631,6507,4865,4131,2765
"Casa independiente (001)",23199,339,5431,6147,4645,3964,2673
"Departamento en edificio (002)",5,,,1,3,1,
"Vivienda en quinta (003)",7,,1,2,4,,
"Vivienda en casa de vecindad (004)",332,3,57,179,59,22,12
"Choza o cabaña (005)",675,8,137,169,144,139,78
"Vivienda improvisada (006)",4,,1,2,,,1
"Local no destinado para hab.humana (007)",17,1,2,4,7,2,1
"Otro tipo (008)",11,,2,3,3,3,
,,,,,,,
"URBANA (009)",10714,171,2421,3079,2211,1717,1115
"Casa independiente (010)",10349,167,2360,2893,2137,1690,1102
"Departamento en edificio (011)",5,,,1,3,1,
"Vivienda en quinta (012)",7,,1,2,4,,
"Vivienda en casa de vecindad (013)",332,3,57,179,59,22,12
"Vivienda improvisada (015)",4,,1,2,,,1
"Local no destinado para hab.humana (016)",8,1,,1,5,1,
"Otro tipo (017)",9,,2,1,3,3,
,,,,,,,
"RURAL (018)",13536,180,3210,3428,2654,2414,1650
"Casa independiente (019)",12850,172,3071,3254,2508,2274,1571
"Choza o cabaña (023)",675,8,137,169,144,139,78
"Local no destinado para hab.humana (025)",9,,2,3,2,1,1
"Otro tipo (026)",2,,,2,,,
