"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAMANGA (000)",3794,1064,2730
"De 14 a 29 años (001)",1950,761,1189
"De 30 a 44 años (002)",1253,260,993
"De 45 a 64 años (003)",484,43,441
"De 65 y más años (004)",107,,107
"Hombres (005)",2494,648,1846
"De 14 a 29 años (006)",1192,434,758
"De 30 a 44 años (007)",828,179,649
"De 45 a 64 años (008)",378,35,343
"De 65 y más años (009)",96,,96
"Mujeres (010)",1300,416,884
"De 14 a 29 años (011)",758,327,431
"De 30 a 44 años (012)",425,81,344
"De 45 a 64 años (013)",106,8,98
"De 65 y más años (014)",11,,11
,,,
"AREA URBANA (015)",3037,846,2191
"De 14 a 29 años (016)",1563,616,947
"De 30 a 44 años (017)",1032,201,831
"De 45 a 64 años (018)",376,29,347
"De 65 y más años (019)",66,,66
"Hombres (020)",1838,471,1367
"De 14 a 29 años (021)",884,327,557
"De 30 a 44 años (022)",622,123,499
"De 45 a 64 años (023)",276,21,255
"De 65 y más años (024)",56,,56
"Mujeres (025)",1199,375,824
"De 14 a 29 años (026)",679,289,390
"De 30 a 44 años (027)",410,78,332
"De 45 a 64 años (028)",100,8,92
"De 65 y más años (029)",10,,10
,,,
"AREA RURAL (030)",757,218,539
"De 14 a 29 años (031)",387,145,242
"De 30 a 44 años (032)",221,59,162
"De 45 a 64 años (033)",108,14,94
"De 65 y más años (034)",41,,41
"Hombres (035)",656,177,479
"De 14 a 29 años (036)",308,107,201
"De 30 a 44 años (037)",206,56,150
"De 45 a 64 años (038)",102,14,88
"De 65 y más años (039)",40,,40
"Mujeres (040)",101,41,60
"De 14 a 29 años (041)",79,38,41
"De 30 a 44 años (042)",15,3,12
"De 45 a 64 años (043)",6,,6
"De 65 y más años (044)",1,,1
