"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN PABLO (000)",5923,5083,339,112,389
"Sin nivel (001)",582,553,24,3,2
"Educación inicial (002)",8,8,,,
"Primaria (003)",3178,2988,144,20,26
"Secundaria (004)",1353,1188,75,36,54
"Superior no univ. incompleta (005)",109,84,9,3,13
"Superior no univ. completa (006)",457,184,57,28,188
"Superior univ. incompleta (007)",48,31,2,2,13
"Superior univ. completa (008)",188,47,28,20,93
"De 06 a 14 años (010)",172,166,5,1,
"Sin nivel (011)",4,4,,,
"Educación inicial (012)",4,4,,,
"Primaria (013)",138,134,4,,
"Secundaria (014)",26,24,1,1,
"De 15 a 29 años (020)",1825,1625,110,33,57
"Sin nivel (021)",54,50,4,,
"Primaria (023)",920,866,42,8,4
"Secundaria (024)",675,608,41,9,17
"Superior no univ. incompleta (025)",44,37,3,2,2
"Superior no univ. completa (026)",98,48,16,9,25
"Superior univ. incompleta (027)",10,8,1,,1
"Superior univ. completa (028)",24,8,3,5,8
"De 30 a 44 años (030)",1981,1569,137,49,226
"Sin nivel (031)",130,121,7,1,1
"Educación inicial (032)",4,4,,,
"Primaria (033)",955,891,47,6,11
"Secundaria (034)",452,387,26,16,23
"Superior no univ. incompleta (035)",50,36,6,,8
"Superior no univ. completa (036)",282,104,36,16,126
"Superior univ. incompleta (037)",21,11,,1,9
"Superior univ. completa (038)",87,15,15,9,48
"De 45 a 64 años (040)",1455,1251,76,25,103
"Sin nivel (041)",216,206,9,,1
"Primaria (043)",869,811,44,4,10
"Secundaria (044)",192,161,7,10,14
"Superior no univ. incompleta (045)",12,8,,1,3
"Superior no univ. completa (046)",75,31,5,3,36
"Superior univ. incompleta (047)",16,12,1,1,2
"Superior univ. completa (048)",75,22,10,6,37
"De 65 y más años (050)",490,472,11,4,3
"Sin nivel (051)",178,172,4,2,
"Primaria (053)",296,286,7,2,1
"Secundaria (054)",8,8,,,
"Superior no univ. incompleta (055)",3,3,,,
"Superior no univ. completa (056)",2,1,,,1
"Superior univ. incompleta (057)",1,,,,1
"Superior univ. completa (058)",2,2,,,
,,,,,
"URBANA (060)",1184,711,94,73,306
"Sin nivel (061)",51,47,1,2,1
"Educación inicial (062)",1,1,,,
