"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANCHEZ CARRION (000)",124706,46445,5548,1116,71680
"Quechua (001)",56,17,4,4,31
"Aymara (002)",14,7,1,3,5
"Asháninka (003)",6,6,,2,
"Otra lengua nativa (004)",18,7,,6,5
"Castellano (005)",124399,46369,5539,1100,71470
"Idioma Extranjero (006)",3,,,1,2
"Es Sordomudo/a (007)",210,39,4,,167
"Hombres (009)",60498,21905,2725,742,35181
"Quechua (010)",32,7,2,4,19
"Aymara (011)",7,4,1,2,1
"Asháninka (012)",3,3,,1,
"Otra lengua nativa (013)",14,5,,6,3
"Castellano (014)",60335,21869,2720,728,35071
"Idioma Extranjero (015)",3,,,1,2
"Es Sordomudo/a (016)",104,17,2,,85
"Mujeres (018)",64208,24540,2823,374,36499
"Quechua (019)",24,10,2,,12
"Aymara (020)",7,3,,1,4
"Asháninka (021)",3,3,,1,
"Otra lengua nativa (022)",4,2,,,2
"Castellano (023)",64064,24500,2819,372,36399
"Es Sordomudo/a (025)",106,22,2,,82
,,,,,
"URBANA (027)",34141,6918,4745,915,21624
"Quechua (028)",34,6,4,4,20
"Aymara (029)",8,4,1,2,2
"Asháninka (030)",2,2,,1,
"Otra lengua nativa (031)",10,1,,6,3
"Castellano (032)",34046,6895,4736,901,21573
"Idioma Extranjero (033)",3,,,1,2
"Es Sordomudo/a (034)",38,10,4,,24
"Hombres (036)",16206,3173,2312,608,10156
"Quechua (037)",18,1,2,4,11
"Aymara (038)",6,3,1,2,1
"Otra lengua nativa (040)",10,1,,6,3
"Castellano (041)",16152,3164,2307,595,10128
"Idioma Extranjero (042)",3,,,1,2
"Es Sordomudo/a (043)",17,4,2,,11
"Mujeres (045)",17935,3745,2433,307,11468
"Quechua (046)",16,5,2,,9
"Aymara (047)",2,1,,,1
"Asháninka (048)",2,2,,1,
"Castellano (050)",17894,3731,2429,306,11445
"Es Sordomudo/a (052)",21,6,2,,13
,,,,,
"RURAL (054)",90565,39527,803,201,50056
"Quechua (055)",22,11,,,11
"Aymara (056)",6,3,,1,3
"Asháninka (057)",4,4,,1,
"Otra lengua nativa (058)",8,6,,,2
"Castellano (059)",90353,39474,803,199,49897
"Es Sordomudo/a (061)",172,29,,,143
"Hombres (063)",44292,18732,413,134,25025
"Quechua (064)",14,6,,,8
"Aymara (065)",1,1,,,
"Asháninka (066)",3,3,,1,
"Otra lengua nativa (067)",4,4,,,
"Castellano (068)",44183,18705,413,133,24943
"Es Sordomudo/a (070)",87,13,,,74
"Mujeres (072)",46273,20795,390,67,25031
"Quechua (073)",8,5,,,3
"Aymara (074)",5,2,,1,3
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",4,2,,,2
"Castellano (077)",46170,20769,390,66,24954
"Es Sordomudo/a (079)",85,16,,,69
