"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCAYO (000)",172189,2665,55429,62309,43504,8282
"Agric., ganadería, caza y silvicultura (001)",25304,738,5759,7523,7854,3430
"Pesca (002)",102,1,19,44,32,6
"Explotación de minas y canteras (003)",2247,1,691,1007,534,14
"Industrias manufactureras (004)",15103,263,6047,4969,3215,609
"Suministro de electricidad, gas y agua (005)",515,,111,245,151,8
"Construcción (006)",9848,60,3195,3768,2509,316
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",42448,745,13698,14956,10948,2101
"Venta, mant.y rep. veh.autom.y motoc. (008)",4311,47,1743,1480,917,124
"Comercio al por mayor (009)",2300,19,896,834,489,62
"Comercio al por menor (010)",35837,679,11059,12642,9542,1915
"Hoteles y restaurantes (011)",10574,327,4082,3177,2591,397
"Trans., almac. y comunicaciones (012)",15179,172,6041,5571,3095,300
"Intermediación financiera (013)",1395,,612,584,194,5
"Activid.inmobil., empres. y alquileres (014)",9758,25,3728,3944,1891,170
"Admin.pub. y defensa; p. segur.soc.afil (015)",5978,,1673,2665,1569,71
"Enseñanza (016)",15865,1,3131,7684,4816,233
"Servicios sociales y de salud (017)",4638,2,1278,1913,1373,72
"Otras activ. serv.comun.soc y personales (018)",6343,111,2307,2256,1419,250
"Hogares privados con servicio doméstico (019)",3543,153,1820,919,566,85
"Actividad economica no especificada (021)",3349,66,1237,1084,747,215
"Hombres (022)",99955,1589,31927,35436,25670,5333
"Agric., ganadería, caza y silvicultura (023)",16517,449,3958,4807,4991,2312
"Pesca (024)",73,1,15,29,25,3
"Explotación de minas y canteras (025)",2151,1,642,972,523,13
"Industrias manufactureras (026)",9578,194,3744,3039,2135,466
"Suministro de electricidad, gas y agua (027)",432,,90,202,132,8
"Construcción (028)",9488,59,3061,3600,2456,312
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",20184,416,6874,6796,5015,1083
"Venta, mant.y rep. veh.autom.y motoc. (030)",3890,46,1558,1325,844,117
"Comercio al por mayor (031)",1250,12,478,452,276,32
"Comercio al por menor (032)",15044,358,4838,5019,3895,934
"Hoteles y restaurantes (033)",3401,152,1554,871,690,134
"Trans., almac. y comunicaciones (034)",13498,154,5105,5048,2898,293
"Intermediación financiera (035)",745,,281,329,131,4
"Activid.inmobil., empres. y alquileres (036)",6519,19,2289,2675,1388,148
