"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",202,45,157
"De 14 a 29 años (001)",101,41,60
"De 30 a 44 años (002)",56,4,52
"De 45 a 64 años (003)",35,,35
"De 65 y más años (004)",10,,10
"Hombres (005)",145,22,123
"De 14 a 29 años (006)",62,20,42
"De 30 a 44 años (007)",46,2,44
"De 45 a 64 años (008)",29,,29
"De 65 y más años (009)",8,,8
"Mujeres (010)",57,23,34
"De 14 a 29 años (011)",39,21,18
"De 30 a 44 años (012)",10,2,8
"De 45 a 64 años (013)",6,,6
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",119,18,101
"De 14 a 29 años (016)",50,14,36
"De 30 a 44 años (017)",39,4,35
"De 45 a 64 años (018)",22,,22
"De 65 y más años (019)",8,,8
"Hombres (020)",90,10,80
"De 14 a 29 años (021)",35,8,27
"De 30 a 44 años (022)",32,2,30
"De 45 a 64 años (023)",17,,17
"De 65 y más años (024)",6,,6
"Mujeres (025)",29,8,21
"De 14 a 29 años (026)",15,6,9
"De 30 a 44 años (027)",7,2,5
"De 45 a 64 años (028)",5,,5
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",83,27,56
"De 14 a 29 años (031)",51,27,24
"De 30 a 44 años (032)",17,,17
"De 45 a 64 años (033)",13,,13
"De 65 y más años (034)",2,,2
"Hombres (035)",55,12,43
"De 14 a 29 años (036)",27,12,15
"De 30 a 44 años (037)",14,,14
"De 45 a 64 años (038)",12,,12
"De 65 y más años (039)",2,,2
"Mujeres (040)",28,15,13
"De 14 a 29 años (041)",24,15,9
"De 30 a 44 años (042)",3,,3
"De 45 a 64 años (043)",1,,1
