"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PALPA (000)",3751,74,1403,1121,385,152,68,17,1,,530
"Sin Nivel (001)",342,18,169,70,27,13,8,2,,,35
"Primaria (003)",960,34,477,248,67,42,17,5,1,,69
"Secundaria (004)",1422,19,602,456,117,34,18,3,,,173
"Sup. no Univ. Incompleta (005)",244,1,52,95,33,12,4,1,,,46
"Sup. no Univ. Completa (006)",438,1,63,154,79,21,9,3,,,108
"Sup. Univ. Incompleta (007)",93,,14,36,11,5,,,,,27
"Sup. Univ. Completa (008)",252,1,26,62,51,25,12,3,,,72
,,,,,,,,,,,
"URBANA (010)",2526,40,870,779,278,113,51,14,1,,380
"Sin Nivel (011)",189,10,87,44,13,7,4,1,,,23
"Primaria (013)",568,17,275,148,43,28,11,4,1,,41
"Secundaria (014)",937,10,381,305,80,23,14,3,,,121
"Sup. no Univ. Incompleta (015)",181,1,40,70,21,10,4,1,,,34
"Sup. no Univ. Completa (016)",361,1,55,126,66,20,9,3,,,81
"Sup. Univ. Incompleta (017)",81,,12,32,11,4,,,,,22
"Sup. Univ. Completa (018)",209,1,20,54,44,21,9,2,,,58
,,,,,,,,,,,
"RURAL (020)",1225,34,533,342,107,39,17,3,,,150
"Sin Nivel (021)",153,8,82,26,14,6,4,1,,,12
"Primaria (023)",392,17,202,100,24,14,6,1,,,28
"Secundaria (024)",485,9,221,151,37,11,4,,,,52
"Sup. no Univ. Incompleta (025)",63,,12,25,12,2,,,,,12
"Sup. no Univ. Completa (026)",77,,8,28,13,1,,,,,27
"Sup. Univ. Incompleta (027)",12,,2,4,,1,,,,,5
"Sup. Univ. Completa (028)",43,,6,8,7,4,3,1,,,14
