"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CUSCO (000)",160409,2474,56125,59961,36477,5372
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",539,,35,243,235,26
"Profes., científicos e intelectuales (002)",26236,,5395,12616,7718,507
"Técnicos de nivel medio y trab.asimilados (003)",12672,31,4747,5040,2599,255
"Jefes y empleados de oficina (004)",9783,,4129,3434,2152,68
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",35949,422,13141,12734,8217,1435
"Agricult.trabaj. calif. agrop. y pesqueros (006)",3900,16,602,1251,1356,675
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",12483,164,4882,4290,2583,564
"Obreros construc., conf., papel, fab., instr. (008)",20688,110,6885,8488,4690,515
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",26421,1631,11565,7517,4712,996
"Otra (010)",1928,,326,1186,411,5
"Ocupación no especificada (011)",3915,38,1518,1307,861,191
"Desocupado (012)",5895,62,2900,1855,943,135
"Hombres (013)",88997,1312,30349,33031,20974,3331
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",347,,22,160,148,17
"Profes., científicos e intelectuales (015)",13043,,2371,5927,4324,421
"Técnicos de nivel medio y trab.asimilados (016)",7226,27,2578,2840,1588,193
"Jefes y empleados de oficina (017)",4711,,1756,1632,1275,48
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",13560,203,5686,4484,2672,515
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3101,12,476,1042,1054,517
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",9946,148,4029,3323,1989,457
"Obreros construc., conf., papel, fab., instr. (021)",18722,76,6075,7675,4405,491
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",11059,789,4807,3029,1987,447
"Otra (023)",1768,,223,1147,394,4
"Ocupación no especificada (024)",2272,22,865,769,504,112
"Desocupado (025)",3242,35,1461,1003,634,109
"Mujeres (026)",71412,1162,25776,26930,15503,2041
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",192,,13,83,87,9
"Profes., científicos e intelectuales (028)",13193,,3024,6689,3394,86
"Técnicos de nivel medio y trab.asimilados (029)",5446,4,2169,2200,1011,62
"Jefes y empleados de oficina (030)",5072,,2373,1802,877,20
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",22389,219,7455,8250,5545,920
