"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,11301,84,2764,2605,1921,2251,1122,447,107,647,35729
"De 12 a 14 años (001)",17,8,,6,2,,,,,,9,10
"De 15 a 19 años (002)",312,265,6,224,29,4,2,,,,47,302
"De 20 a 24 años (003)",1805,1576,23,1036,401,96,17,3,,,229,2217
"De 25 a 29 años (004)",1978,1796,13,646,706,312,113,6,,,182,3505
"De 30 a 34 años (005)",1665,1589,6,305,547,398,293,37,2,1,76,4113
"De 35 a 39 años (006)",1526,1485,12,169,359,389,417,121,17,1,41,4787
"De 40 a 44 años (007)",1127,1105,4,94,178,229,368,165,57,10,22,4404
"De 45 a 49 años (008)",886,881,5,63,112,149,262,183,81,26,5,4035
"De 50 y más años (009)",2632,2596,15,221,271,344,779,607,290,69,36,12356
"PEA (010)",3507,3280,27,803,790,561,662,327,92,18,227,10038
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",64,57,3,47,6,,1,,,,7,63
"De 20 a 24 años (013)",439,357,6,243,84,20,3,1,,,82,490
"De 25 a 29 años (014)",557,482,3,187,201,58,30,3,,,75,909
"De 30 a 34 años (015)",567,536,4,123,203,115,84,7,,,31,1274
"De 35 a 39 años (016)",495,483,3,71,129,127,117,31,5,,12,1460
"De 40 a 44 años (017)",410,399,,41,68,88,128,59,15,,11,1514
"De 45 a 49 años (018)",295,294,2,22,41,61,88,56,22,2,1,1245
"De 50 y más años (019)",679,672,6,69,58,92,211,170,50,16,7,3083
"Ocupada (020)",3208,3030,24,719,723,523,621,314,89,17,178,9410
"De 12 a 14 años (021)",1,,,,,,,,,,1,
