"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CANDARAVE (000)",7574,1294,2008,1870,1543,859
"Sin nivel (001)",800,15,8,91,267,419
"Educación inicial (002)",97,95,,2,,
"Primaria (003)",3020,894,199,660,879,388
"Secundaria (004)",2862,290,1465,788,282,37
"Superior no univ. incompleta (005)",186,,123,49,11,3
"Superior no univ. completa (006)",226,,97,85,40,4
"Superior univ. incompleta (007)",125,,49,45,28,3
"Superior univ. completa (008)",258,,67,150,36,5
"PEA (010)",4270,41,1224,1392,1173,440
"Sin nivel (011)",388,,4,58,163,163
"Educación inicial (012)",2,1,,1,,
"Primaria (013)",1462,28,110,419,664,241
"Secundaria (014)",1767,12,867,614,249,25
"Superior no univ. incompleta (015)",138,,80,45,10,3
"Superior no univ. completa (016)",193,,77,78,34,4
"Superior univ. incompleta (017)",92,,27,39,23,3
"Superior univ. completa (018)",228,,59,138,30,1
"Ocupada (020)",4063,38,1141,1327,1125,432
"Sin nivel (021)",382,,4,55,161,162
"Educación inicial (022)",2,1,,1,,
"Primaria (023)",1404,26,106,407,631,234
"Secundaria (024)",1646,11,802,571,237,25
"Superior no univ. incompleta (025)",132,,76,43,10,3
"Superior no univ. completa (026)",184,,72,74,34,4
"Superior univ. incompleta (027)",90,,25,39,23,3
"Superior univ. completa (028)",223,,56,137,29,1
"Desocupada (030)",207,3,83,65,48,8
"Sin nivel (031)",6,,,3,2,1
"Primaria (033)",58,2,4,12,33,7
