"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JULCAN (000)",7994,116,3414,2516,752,280,134,61,11,,710
"Sin Nivel (001)",2988,59,1232,939,302,120,73,35,6,,222
"Educación Inicial (002)",20,,10,8,,,,,,,2
"Primaria (003)",3863,49,1756,1236,327,115,46,20,5,,309
"Secundaria (004)",795,7,337,235,75,24,7,3,,,107
"Sup. no Univ. Incompleta (005)",102,,32,36,13,3,1,,,,17
"Sup. no Univ. Completa (006)",101,,13,28,17,9,4,,,,30
"Sup. Univ. Incompleta (007)",15,,7,4,1,1,,,,,2
"Sup. Univ. Completa (008)",110,1,27,30,17,8,3,3,,,21
,,,,,,,,,,,
"URBANA (010)",1345,12,490,439,141,70,36,9,,,148
"Sin Nivel (011)",406,5,149,139,39,26,14,4,,,30
"Educación Inicial (012)",4,,1,2,,,,,,,1
"Primaria (013)",559,5,225,187,53,26,17,2,,,44
"Secundaria (014)",197,1,82,59,17,5,1,1,,,31
"Sup. no Univ. Incompleta (015)",32,,8,11,7,,,,,,6
"Sup. no Univ. Completa (016)",69,,8,17,12,6,2,,,,24
"Sup. Univ. Incompleta (017)",12,,5,3,1,1,,,,,2
"Sup. Univ. Completa (018)",66,1,12,21,12,6,2,2,,,10
,,,,,,,,,,,
"RURAL (020)",6649,104,2924,2077,611,210,98,52,11,,562
"Sin Nivel (021)",2582,54,1083,800,263,94,59,31,6,,192
"Educación Inicial (022)",16,,9,6,,,,,,,1
"Primaria (023)",3304,44,1531,1049,274,89,29,18,5,,265
"Secundaria (024)",598,6,255,176,58,19,6,2,,,76
"Sup. no Univ. Incompleta (025)",70,,24,25,6,3,1,,,,11
"Sup. no Univ. Completa (026)",32,,5,11,5,3,2,,,,6
"Sup. Univ. Incompleta (027)",3,,2,1,,,,,,,
"Sup. Univ. Completa (028)",44,,15,9,5,2,1,1,,,11
