"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CAJABAMBA (000)",68615,19140,3933,715,44884
"Quechua (001)",30,6,7,4,16
"Aymara (002)",16,6,2,2,7
"Asháninka (003)",5,3,,3,1
"Otra lengua nativa (004)",8,2,,,6
"Castellano (005)",68403,19093,3921,703,44737
"Idioma Extranjero (006)",4,,,3,1
"Es Sordomudo/a (007)",149,30,3,,116
"Hombres (009)",33781,9443,1883,414,22075
"Quechua (010)",16,2,5,2,8
"Aymara (011)",8,3,,2,4
"Asháninka (012)",4,2,,3,1
"Otra lengua nativa (013)",3,,,,3
"Castellano (014)",33684,9425,1877,406,22006
"Idioma Extranjero (015)",2,,,1,1
"Es Sordomudo/a (016)",64,11,1,,52
"Mujeres (018)",34834,9697,2050,301,22809
"Quechua (019)",14,4,2,2,8
"Aymara (020)",8,3,2,,3
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",5,2,,,3
"Castellano (023)",34719,9668,2044,297,22731
"Idioma Extranjero (024)",2,,,2,
"Es Sordomudo/a (025)",85,19,2,,64
,,,,,
"URBANA (027)",17126,2789,3074,449,10845
"Quechua (028)",12,,7,3,4
"Aymara (029)",6,1,2,1,2
"Asháninka (030)",1,,,1,
"Otra lengua nativa (031)",5,2,,,3
"Castellano (032)",17080,2786,3064,442,10817
"Idioma Extranjero (033)",3,,,2,1
"Es Sordomudo/a (034)",19,,1,,18
"Hombres (036)",8090,1348,1437,270,5052
"Quechua (037)",7,,5,2,1
"Aymara (038)",1,,,1,
"Asháninka (039)",1,,,1,
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",8068,1348,1432,266,5038
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",11,,,,11
"Mujeres (045)",9036,1441,1637,179,5793
"Quechua (046)",5,,2,1,3
"Aymara (047)",5,1,2,,2
"Otra lengua nativa (049)",4,2,,,2
"Castellano (050)",9012,1438,1632,176,5779
"Idioma Extranjero (051)",2,,,2,
"Es Sordomudo/a (052)",8,,1,,7
,,,,,
"RURAL (054)",51489,16351,859,266,34039
"Quechua (055)",18,6,,1,12
"Aymara (056)",10,5,,1,5
"Asháninka (057)",4,3,,2,1
"Otra lengua nativa (058)",3,,,,3
"Castellano (059)",51323,16307,857,261,33920
"Idioma Extranjero (060)",1,,,1,
"Es Sordomudo/a (061)",130,30,2,,98
"Hombres (063)",25691,8095,446,144,17023
"Quechua (064)",9,2,,,7
"Aymara (065)",7,3,,1,4
"Asháninka (066)",3,2,,2,1
"Otra lengua nativa (067)",2,,,,2
"Castellano (068)",25616,8077,445,140,16968
"Idioma Extranjero (069)",1,,,1,
"Es Sordomudo/a (070)",53,11,1,,41
"Mujeres (072)",25798,8256,413,122,17016
"Quechua (073)",9,4,,1,5
"Aymara (074)",3,2,,,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",25707,8230,412,121,16952
"Es Sordomudo/a (079)",77,19,1,,57
