"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MANU (000)",10166,145,4763,3593,1481,184
"Agric., ganadería, caza y silvicultura (001)",1501,24,545,479,358,95
"Pesca (002)",12,,4,1,6,1
"Explotación de minas y canteras (003)",2795,16,1481,937,340,21
"Industrias manufactureras (004)",351,6,133,140,68,4
"Suministro de electricidad, gas y agua (005)",23,,15,8,,
"Construcción (006)",246,1,87,104,51,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1606,48,640,669,227,22
"Venta, mant.y rep. veh.autom.y motoc. (008)",310,3,151,123,31,2
"Comercio al por mayor (009)",35,1,18,11,3,2
"Comercio al por menor (010)",1261,44,471,535,193,18
"Hoteles y restaurantes (011)",1028,25,607,271,113,12
"Trans., almac. y comunicaciones (012)",846,5,437,326,69,9
"Intermediación financiera (013)",13,,4,9,,
"Activid.inmobil., empres. y alquileres (014)",123,,53,41,28,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",132,,28,71,33,
"Enseñanza (016)",249,,68,155,23,3
"Servicios sociales y de salud (017)",95,,44,39,12,
"Otras activ. serv.comun.soc y personales (018)",252,4,135,79,32,2
"Hogares privados con servicio doméstico (019)",280,5,203,50,21,1
"Actividad economica no especificada (021)",614,11,279,214,100,10
"Hombres (022)",7279,89,3249,2615,1173,153
"Agric., ganadería, caza y silvicultura (023)",1306,21,477,411,316,81
"Pesca (024)",12,,4,1,6,1
"Explotación de minas y canteras (025)",2556,14,1344,867,310,21
"Industrias manufactureras (026)",302,5,116,121,57,3
"Suministro de electricidad, gas y agua (027)",23,,15,8,,
"Construcción (028)",239,1,83,101,51,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",828,26,312,336,140,14
"Venta, mant.y rep. veh.autom.y motoc. (030)",284,3,135,113,31,2
"Comercio al por mayor (031)",23,1,11,8,2,1
"Comercio al por menor (032)",521,22,166,215,107,11
"Hoteles y restaurantes (033)",179,9,87,47,30,6
"Trans., almac. y comunicaciones (034)",808,4,410,316,69,9
"Intermediación financiera (035)",10,,3,7,,
"Activid.inmobil., empres. y alquileres (036)",106,,45,34,26,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",109,,18,60,31,
"Enseñanza (038)",116,,27,69,17,3
"Servicios sociales y de salud (039)",49,,17,22,10,
"Otras activ. serv.comun.soc y personales (040)",153,2,77,48,24,2
