"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN MARCOS (000)",824,319,505
"Sin nivel (001)",65,13,52
"Educación inicial (002)",1,1,
"Primaria (003)",521,231,290
"Secundaria (004)",164,60,104
"Superior no univ. incompleta (005)",14,3,11
"Superior no univ. completa (006)",44,10,34
"Superior univ. incompleta (007)",2,,2
"Superior univ. completa (008)",13,1,12
"De 14 a 29 años (010)",459,265,194
"Sin nivel (011)",20,9,11
"Primaria (013)",288,196,92
"Secundaria (014)",115,49,66
"Superior no univ. incompleta (015)",9,3,6
"Superior no univ. completa (016)",18,7,11
"Superior univ. incompleta (017)",1,,1
"Superior univ. completa (018)",8,1,7
"De 30 a 44 años (020)",209,47,162
"Sin nivel (021)",16,3,13
"Educación inicial (022)",1,1,
"Primaria (023)",122,30,92
"Secundaria (024)",39,10,29
"Superior no univ. incompleta (025)",5,,5
"Superior no univ. completa (026)",21,3,18
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",4,,4
"De 45 a 64 años (030)",112,7,105
"Sin nivel (031)",20,1,19
"Primaria (033)",77,5,72
"Secundaria (034)",10,1,9
"Superior no univ. completa (036)",4,,4
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",44,,44
"Sin nivel (041)",9,,9
"Primaria (043)",34,,34
"Superior no univ. completa (046)",1,,1
,,,
"AREA URBANA (050)",176,48,128
"Sin nivel (051)",11,2,9
"Primaria (053)",46,13,33
"Secundaria (054)",59,22,37
"Superior no univ. incompleta (055)",11,3,8
"Superior no univ. completa (056)",36,7,29
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",11,1,10
"De 14 a 29 años (060)",84,37,47
"Sin nivel (061)",2,2,
"Primaria (063)",15,10,5
"Secundaria (064)",42,17,25
"Superior no univ. incompleta (065)",7,3,4
"Superior no univ. completa (066)",11,4,7
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",6,1,5
"De 30 a 44 años (070)",58,10,48
"Sin nivel (071)",2,,2
"Primaria (073)",14,3,11
"Secundaria (074)",13,4,9
"Superior no univ. incompleta (075)",4,,4
"Superior no univ. completa (076)",20,3,17
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",4,,4
"De 45 a 64 años (080)",29,1,28
"Sin nivel (081)",6,,6
"Primaria (083)",14,,14
"Secundaria (084)",4,1,3
"Superior no univ. completa (086)",4,,4
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",5,,5
"Sin nivel (091)",1,,1
"Primaria (093)",3,,3
"Superior no univ. completa (096)",1,,1
,,,
"AREA RURAL (100)",648,271,377
"Sin nivel (101)",54,11,43
"Educación inicial (102)",1,1,
"Primaria (103)",475,218,257
"Secundaria (104)",105,38,67
"Superior no univ. incompleta (105)",3,,3
"Superior no univ. completa (106)",8,3,5
"Superior univ. completa (108)",2,,2
"De 14 a 29 años (110)",375,228,147
"Sin nivel (111)",18,7,11
"Primaria (113)",273,186,87
"Secundaria (114)",73,32,41
"Superior no univ. incompleta (115)",2,,2
"Superior no univ. completa (116)",7,3,4
"Superior univ. completa (118)",2,,2
"De 30 a 44 años (120)",151,37,114
"Sin nivel (121)",14,3,11
"Educación inicial (122)",1,1,
"Primaria (123)",108,27,81
"Secundaria (124)",26,6,20
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",1,,1
"De 45 a 64 años (130)",83,6,77
"Sin nivel (131)",14,1,13
"Primaria (133)",63,5,58
"Secundaria (134)",6,,6
"De 65 y más años (140)",39,,39
"Sin nivel (141)",8,,8
"Primaria (143)",31,,31
