"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia HUANCA SANCOS",,,,,
"Viviendas particulares (001)",260,50,10,43,157
"Ocupantes presentes (002)",940,136,41,173,590
"Casa independiente",,,,,
"Viviendas particulares (004)",257,50,10,43,154
"Ocupantes presentes (005)",923,136,41,173,573
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",3,,,,3
"Ocupantes presentes (011)",17,,,,17
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",258,48,10,43,157
"Ocupantes presentes (029)",936,132,41,173,590
"Casa independiente",,,,,
"Viviendas particulares (031)",255,48,10,43,154
"Ocupantes presentes (032)",919,132,41,173,573
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",3,,,,3
"Ocupantes presentes (038)",17,,,,17
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",2,2,,,
"Ocupantes presentes (056)",4,4,,,
"Casa independiente",,,,,
"Viviendas particulares (058)",2,2,,,
"Ocupantes presentes (059)",4,4,,,
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
