"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CHOTA (000)",46956,76,3221,753,680,2368,18465,1789,1501,14832,138,1137,1996
"Agric., ganadería, caza y silvicultura (001)",31232,,9,24,2,,18465,4,10,12718,,,
"Explotación de minas y canteras (003)",338,,23,22,16,,,67,27,183,,,
"Industrias manufactureras (004)",1647,,6,18,3,14,,1482,113,11,,,
"Suministro de electricidad, gas y agua (005)",48,,1,3,3,,,12,13,16,,,
"Construcción (006)",954,,40,26,16,,,49,523,300,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",2389,,16,48,4,1871,,139,7,304,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",105,,4,1,,23,,69,5,3,,,
"Comercio al por mayor (009)",63,,3,5,,50,,3,,2,,,
"Comercio al por menor (010)",2221,,9,42,4,1798,,67,2,299,,,
"Hoteles y restaurantes (011)",588,1,3,25,6,379,,,1,173,,,
"Trans., almac. y comunicaciones (012)",898,,6,17,25,,,7,746,97,,,
"Intermediación financiera (013)",23,,3,5,14,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",421,,105,76,98,41,,19,25,57,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",810,54,81,55,317,31,,3,28,103,138,,
"Enseñanza (016)",2754,19,2659,14,51,,,,1,10,,,
"Servicios sociales y de salud (017)",591,,218,307,42,8,,4,3,9,,,
"Otras activ. serv.comun.soc y personales (018)",395,2,32,94,22,24,,3,4,214,,,
"Hogares privados con servicio doméstico (019)",638,,,2,,,,,,636,,,
"Actividad economica no especificada (021)",1234,,19,17,61,,,,,,,1137,
"Desocupado (022)",1996,,,,,,,,,,,,1996
"Hombres (023)",37025,58,1925,481,394,1090,17057,1001,1401,11514,136,347,1621
"Agric., ganadería, caza y silvicultura (024)",27615,,9,22,2,,17057,4,10,10511,,,
"Explotación de minas y canteras (026)",321,,18,21,11,,,67,27,177,,,
"Industrias manufactureras (027)",764,,5,12,2,5,,702,30,8,,,
"Suministro de electricidad, gas y agua (028)",47,,1,3,3,,,12,12,16,,,
"Construcción (029)",940,,39,26,12,,,48,519,296,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",1229,,10,34,3,906,,132,7,137,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",96,,4,1,,15,,68,5,3,,,
"Comercio al por mayor (032)",45,,3,4,,34,,3,,1,,,
"Comercio al por menor (033)",1088,,3,29,3,857,,61,2,133,,,
"Hoteles y restaurantes (034)",150,1,1,18,5,91,,,1,33,,,
"Trans., almac. y comunicaciones (035)",852,,5,11,15,,,7,737,77,,,
"Intermediación financiera (036)",14,,2,4,7,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",326,,91,65,53,41,,19,22,35,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",639,42,68,35,204,31,,3,28,92,136,,
"Enseñanza (039)",1585,13,1542,4,16,,,,1,9,,,
"Servicios sociales y de salud (040)",265,,94,133,22,5,,4,3,4,,,
"Otras activ. serv.comun.soc y personales (041)",221,2,28,78,10,11,,3,4,85,,,
"Hogares privados con servicio doméstico (042)",34,,,1,,,,,,33,,,
"Actividad economica no especificada (044)",402,,12,14,29,,,,,,,347,
"Desocupado (045)",1621,,,,,,,,,,,,1621
"Mujeres (046)",9931,18,1296,272,286,1278,1408,788,100,3318,2,790,375
"Agric., ganadería, caza y silvicultura (047)",3617,,,2,,,1408,,,2207,,,
"Explotación de minas y canteras (049)",17,,5,1,5,,,,,6,,,
"Industrias manufactureras (050)",883,,1,6,1,9,,780,83,3,,,
"Suministro de electricidad, gas y agua (051)",1,,,,,,,,1,,,,
"Construcción (052)",14,,1,,4,,,1,4,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1160,,6,14,1,965,,7,,167,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",9,,,,,8,,1,,,,,
"Comercio al por mayor (055)",18,,,1,,16,,,,1,,,
"Comercio al por menor (056)",1133,,6,13,1,941,,6,,166,,,
"Hoteles y restaurantes (057)",438,,2,7,1,288,,,,140,,,
"Trans., almac. y comunicaciones (058)",46,,1,6,10,,,,9,20,,,
"Intermediación financiera (059)",9,,1,1,7,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",95,,14,11,45,,,,3,22,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",171,12,13,20,113,,,,,11,2,,
"Enseñanza (062)",1169,6,1117,10,35,,,,,1,,,
"Servicios sociales y de salud (063)",326,,124,174,20,3,,,,5,,,
"Otras activ. serv.comun.soc y personales (064)",174,,4,16,12,13,,,,129,,,
"Hogares privados con servicio doméstico (065)",604,,,1,,,,,,603,,,
"Actividad economica no especificada (067)",832,,7,3,32,,,,,,,790,
"Desocupado (068)",375,,,,,,,,,,,,375
,,,,,,,,,,,,,
"URBANA (069)",12052,59,2498,568,530,1720,1839,750,864,2098,130,439,557
"Agric., ganadería, caza y silvicultura (070)",2842,,9,18,1,,1839,1,3,971,,,
"Explotación de minas y canteras (072)",20,,,2,,,,3,5,10,,,
"Industrias manufactureras (073)",661,,5,14,2,14,,587,32,7,,,
"Suministro de electricidad, gas y agua (074)",17,,1,3,2,,,8,1,2,,,
"Construcción (075)",459,,27,17,5,,,31,278,101,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1749,,13,39,3,1382,,109,5,198,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",86,,4,1,,17,,57,4,3,,,
"Comercio al por mayor (078)",40,,1,4,,33,,,,2,,,
"Comercio al por menor (079)",1623,,8,34,3,1332,,52,1,193,,,
"Hoteles y restaurantes (080)",427,1,2,21,5,259,,,,139,,,
"Trans., almac. y comunicaciones (081)",612,,4,12,21,,,2,504,69,,,
"Intermediación financiera (082)",19,,3,4,12,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",250,,85,52,69,8,,1,10,25,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",674,40,75,48,260,26,,3,20,72,130,,
"Enseñanza (085)",2122,16,2038,13,47,,,,1,7,,,
"Servicios sociales y de salud (086)",483,,190,238,35,7,,3,2,8,,,
"Otras activ. serv.comun.soc y personales (087)",281,2,28,69,19,24,,2,3,134,,,
"Hogares privados con servicio doméstico (088)",357,,,2,,,,,,355,,,
"Actividad economica no especificada (090)",522,,18,16,49,,,,,,,439,
"Desocupado (091)",557,,,,,,,,,,,,557
"Hombres (092)",7796,44,1427,338,280,792,1643,570,845,1197,128,162,370
"Agric., ganadería, caza y silvicultura (093)",2443,,9,16,1,,1643,1,3,770,,,
"Explotación de minas y canteras (095)",18,,,1,,,,3,5,9,,,
"Industrias manufactureras (096)",464,,4,11,2,5,,415,22,5,,,
"Suministro de electricidad, gas y agua (097)",17,,1,3,2,,,8,1,2,,,
"Construcción (098)",452,,26,17,2,,,30,277,100,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",903,,8,25,2,679,,102,5,82,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",78,,4,1,,10,,56,4,3,,,
"Comercio al por mayor (101)",26,,1,3,,21,,,,1,,,
"Comercio al por menor (102)",799,,3,21,2,648,,46,1,78,,,
"Hoteles y restaurantes (103)",102,1,1,16,4,59,,,,21,,,
"Trans., almac. y comunicaciones (104)",575,,4,7,12,,,2,498,52,,,
"Intermediación financiera (105)",10,,2,3,5,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",176,,72,44,29,8,,1,8,14,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",525,31,63,29,158,26,,3,20,67,128,,
"Enseñanza (108)",1156,10,1122,4,13,,,,1,6,,,
"Servicios sociales y de salud (109)",202,,80,92,18,4,,3,2,3,,,
"Otras activ. serv.comun.soc y personales (110)",153,2,24,56,9,11,,2,3,46,,,
"Hogares privados con servicio doméstico (111)",21,,,1,,,,,,20,,,
"Actividad economica no especificada (113)",209,,11,13,23,,,,,,,162,
"Desocupado (114)",370,,,,,,,,,,,,370
"Mujeres (115)",4256,15,1071,230,250,928,196,180,19,901,2,277,187
"Agric., ganadería, caza y silvicultura (116)",399,,,2,,,196,,,201,,,
"Explotación de minas y canteras (118)",2,,,1,,,,,,1,,,
"Industrias manufactureras (119)",197,,1,3,,9,,172,10,2,,,
"Construcción (121)",7,,1,,3,,,1,1,1,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",846,,5,14,1,703,,7,,116,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",8,,,,,7,,1,,,,,
"Comercio al por mayor (124)",14,,,1,,12,,,,1,,,
"Comercio al por menor (125)",824,,5,13,1,684,,6,,115,,,
"Hoteles y restaurantes (126)",325,,1,5,1,200,,,,118,,,
"Trans., almac. y comunicaciones (127)",37,,,5,9,,,,6,17,,,
"Intermediación financiera (128)",9,,1,1,7,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",74,,13,8,40,,,,2,11,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",149,9,12,19,102,,,,,5,2,,
"Enseñanza (131)",966,6,916,9,34,,,,,1,,,
"Servicios sociales y de salud (132)",281,,110,146,17,3,,,,5,,,
"Otras activ. serv.comun.soc y personales (133)",128,,4,13,10,13,,,,88,,,
"Hogares privados con servicio doméstico (134)",336,,,1,,,,,,335,,,
"Actividad economica no especificada (136)",313,,7,3,26,,,,,,,277,
"Desocupado (137)",187,,,,,,,,,,,,187
,,,,,,,,,,,,,
"RURAL (138)",34904,17,723,185,150,648,16626,1039,637,12734,8,698,1439
"Agric., ganadería, caza y silvicultura (139)",28390,,,6,1,,16626,3,7,11747,,,
"Explotación de minas y canteras (141)",318,,23,20,16,,,64,22,173,,,
"Industrias manufactureras (142)",986,,1,4,1,,,895,81,4,,,
"Suministro de electricidad, gas y agua (143)",31,,,,1,,,4,12,14,,,
"Construcción (144)",495,,13,9,11,,,18,245,199,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",640,,3,9,1,489,,30,2,106,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",19,,,,,6,,12,1,,,,
"Comercio al por mayor (147)",23,,2,1,,17,,3,,,,,
"Comercio al por menor (148)",598,,1,8,1,466,,15,1,106,,,
