"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONDORCANQUI (000)",8505,595,5038,1541,348,102,45,21,9,,806
"Sin Nivel (001)",2441,194,1374,441,133,42,26,10,9,,212
"Educación Inicial (002)",28,3,17,2,1,,,,,,5
"Primaria (003)",4574,364,2914,721,113,40,15,9,,,398
"Secundaria (004)",1165,32,666,276,49,6,1,1,,,134
"Sup. no Univ. Incompleta (005)",95,1,29,43,10,1,1,,,,10
"Sup. no Univ. Completa (006)",127,,30,40,26,8,2,,,,21
"Sup. Univ. Incompleta (007)",18,1,1,7,3,,,,,,6
"Sup. Univ. Completa (008)",57,,7,11,13,5,,1,,,20
,,,,,,,,,,,
"URBANA (010)",1298,68,689,253,73,23,9,7,,,176
"Sin Nivel (011)",158,9,74,23,9,4,5,3,,,31
"Educación Inicial (012)",8,,5,,1,,,,,,2
"Primaria (013)",582,47,371,83,14,10,3,2,,,52
"Secundaria (014)",389,12,206,98,20,2,,1,,,50
"Sup. no Univ. Incompleta (015)",39,,9,18,5,,,,,,7
"Sup. no Univ. Completa (016)",71,,19,22,11,5,1,,,,13
"Sup. Univ. Incompleta (017)",9,,1,2,3,,,,,,3
"Sup. Univ. Completa (018)",42,,4,7,10,2,,1,,,18
,,,,,,,,,,,
"RURAL (020)",7207,527,4349,1288,275,79,36,14,9,,630
"Sin Nivel (021)",2283,185,1300,418,124,38,21,7,9,,181
"Educación Inicial (022)",20,3,12,2,,,,,,,3
"Primaria (023)",3992,317,2543,638,99,30,12,7,,,346
"Secundaria (024)",776,20,460,178,29,4,1,,,,84
"Sup. no Univ. Incompleta (025)",56,1,20,25,5,1,1,,,,3
"Sup. no Univ. Completa (026)",56,,11,18,15,3,1,,,,8
"Sup. Univ. Incompleta (027)",9,1,,5,,,,,,,3
"Sup. Univ. Completa (028)",15,,3,4,3,3,,,,,2
