"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SAN IGNACIO (000)",44675,3274,7466,22293,886,9471,449,836
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,32,,,1,,,
"Profes., científicos e intelectuales (002)",1918,1712,,192,4,10,,
"Técnicos de nivel medio y trab. asimilados (003)",388,290,,87,6,5,,
"Jefes y empleados de oficina (004)",325,321,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1867,239,2,1338,39,249,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",19260,2,,18485,772,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",764,,199,502,25,38,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1134,159,338,597,13,26,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16755,216,6832,348,4,8907,448,
"Otra (010)",127,127,,,,,,
"Ocupaciñn no especificada (011)",1268,176,95,743,22,232,,
"Desocupado (012)",836,,,,,,,836
"Hombres (013)",35798,1794,6529,19405,816,6588,31,635
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",25,24,,,1,,,
"Profes., científicos e intelectuales (015)",942,848,,87,4,3,,
"Técnicos de nivel medio y trab. asimilados (016)",251,184,,59,6,2,,
"Jefes y empleados de oficina (017)",143,141,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",947,126,1,746,18,56,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",17968,1,,17227,740,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",608,,176,384,24,24,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1121,158,335,588,13,26,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",12752,128,5962,180,3,6449,30,
"Otra (023)",126,126,,,,,,
"Ocupaciñn no especificada (024)",280,58,55,133,7,27,,
"Desocupado (025)",635,,,,,,,635
"Mujeres (026)",8877,1480,937,2888,70,2883,418,201
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",8,8,,,,,,
"Profes., científicos e intelectuales (028)",976,864,,105,,7,,
"Técnicos de nivel medio y trab. asimilados (029)",137,106,,28,,3,,
"Jefes y empleados de oficina (030)",182,180,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",920,113,1,592,21,193,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1292,1,,1258,32,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",156,,23,118,1,14,,
"Obreros construc.,conf.,papel, fab., instr. (034)",13,1,3,9,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",4003,88,870,168,1,2458,418,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",988,118,40,610,15,205,,
"Desocupado (038)",201,,,,,,,201
,,,,,,,,
"URBANA (039)",7802,1964,1098,3418,188,698,178,258
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",19,18,,,1,,,
"Profes., científicos e intelectuales (041)",996,894,,94,4,4,,
"Técnicos de nivel medio y trab. asimilados (042)",270,196,,65,5,4,,
"Jefes y empleados de oficina (043)",257,253,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1046,180,1,691,30,144,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1640,,,1537,103,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",453,,109,305,19,20,,
"Obreros construc.,conf.,papel, fab., instr. (047)",660,87,189,366,9,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1782,164,755,213,4,468,178,
"Otra (049)",113,113,,,,,,
"Ocupaciñn no especificada (050)",308,59,44,146,13,46,,
"Desocupado (051)",258,,,,,,,258
"Hombres (052)",5404,1089,999,2609,150,378,6,173
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",14,13,,,1,,,
"Profes., científicos e intelectuales (054)",494,440,,49,4,1,,
"Técnicos de nivel medio y trab. asimilados (055)",177,126,,45,5,1,,
"Jefes y empleados de oficina (056)",104,102,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",518,93,1,381,13,30,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1487,,,1394,93,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",370,,102,234,18,16,,
"Obreros construc.,conf.,papel, fab., instr. (060)",649,86,187,358,9,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",1192,92,674,106,3,311,6,
"Otra (062)",112,112,,,,,,
"Ocupaciñn no especificada (063)",114,25,35,41,4,9,,
"Desocupado (064)",173,,,,,,,173
"Mujeres (065)",2398,875,99,809,38,320,172,85
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",5,5,,,,,,
"Profes., científicos e intelectuales (067)",502,454,,45,,3,,
"Técnicos de nivel medio y trab. asimilados (068)",93,70,,20,,3,,
"Jefes y empleados de oficina (069)",153,151,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",528,87,,310,17,114,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",153,,,143,10,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",83,,7,71,1,4,,
"Obreros construc.,conf.,papel, fab., instr. (073)",11,1,2,8,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",590,72,81,107,1,157,172,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",194,34,9,105,9,37,,
"Desocupado (077)",85,,,,,,,85
,,,,,,,,
"RURAL (078)",36873,1310,6368,18875,698,8773,271,578
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",14,14,,,,,,
"Profes., científicos e intelectuales (080)",922,818,,98,,6,,
"Técnicos de nivel medio y trab. asimilados (081)",118,94,,22,1,1,,
"Jefes y empleados de oficina (082)",68,68,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",821,59,1,647,9,105,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",17620,2,,16948,669,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",311,,90,197,6,18,,
"Obreros construc.,conf.,papel, fab., instr. (086)",474,72,149,231,4,17,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",14973,52,6077,135,,8439,270,
"Otra (088)",14,14,,,,,,
"Ocupaciñn no especificada (089)",960,117,51,597,9,186,,
"Desocupado (090)",578,,,,,,,578
"Hombres (091)",30394,705,5530,16796,666,6210,25,462
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",11,11,,,,,,
"Profes., científicos e intelectuales (093)",448,408,,38,,2,,
"Técnicos de nivel medio y trab. asimilados (094)",74,58,,14,1,1,,
"Jefes y empleados de oficina (095)",39,39,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",429,33,,365,5,26,,
