"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",20245,3042,2572,930,13733
"Conviviente (001)",4813,557,527,192,3541
"Separado(a) (002)",391,35,44,16,296
"Casado(a) (003)",6831,785,1249,469,4345
"Viudo(a) (004)",1022,127,54,23,818
"Divorciado(a) (005)",80,4,12,5,59
"Soltero(a) (006)",7108,1534,686,225,4674
"Hombres (008)",10922,1444,1436,704,7363
"Conviviente (009)",2546,233,316,161,1840
"Separado(a) (010)",181,12,23,9,137
"Casado(a) (011)",3637,355,717,360,2219
"Viudo(a) (012)",377,46,17,12,302
"Divorciado(a) (013)",45,,5,3,37
"Soltero(a) (014)",4136,798,358,159,2828
"Mujeres (016)",9323,1598,1136,226,6370
"Conviviente (017)",2267,324,211,31,1701
"Separado(a) (018)",210,23,21,7,159
"Casado(a) (019)",3194,430,532,109,2126
"Viudo(a) (020)",645,81,37,11,516
"Divorciado(a) (021)",35,4,7,2,22
"Soltero(a) (022)",2972,736,328,66,1846
,,,,,
"URBANA (024)",8776,1393,1493,315,5587
"Conviviente (025)",2188,309,296,60,1525
"Separado(a) (026)",200,14,29,11,146
"Casado(a) (027)",2818,356,710,147,1610
"Viudo(a) (028)",382,61,28,10,283
"Divorciado(a) (029)",41,3,8,4,26
"Soltero(a) (030)",3147,650,422,83,1997
"Hombres (032)",4552,661,761,208,2931
"Conviviente (033)",1103,129,159,43,774
"Separado(a) (034)",80,4,15,6,55
"Casado(a) (035)",1460,164,374,100,825
"Viudo(a) (036)",143,27,10,5,101
"Divorciado(a) (037)",21,,3,2,16
"Soltero(a) (038)",1745,337,200,52,1160
"Mujeres (040)",4224,732,732,107,2656
"Conviviente (041)",1085,180,137,17,751
"Separado(a) (042)",120,10,14,5,91
"Casado(a) (043)",1358,192,336,47,785
"Viudo(a) (044)",239,34,18,5,182
"Divorciado(a) (045)",20,3,5,2,10
"Soltero(a) (046)",1402,313,222,31,837
,,,,,
"RURAL (048)",11469,1649,1079,615,8146
"Conviviente (049)",2625,248,231,132,2016
"Separado(a) (050)",191,21,15,5,150
"Casado(a) (051)",4013,429,539,322,2735
"Viudo(a) (052)",640,66,26,13,535
"Divorciado(a) (053)",39,1,4,1,33
"Soltero(a) (054)",3961,884,264,142,2677
"Hombres (056)",6370,783,675,496,4432
"Conviviente (057)",1443,104,157,118,1066
"Separado(a) (058)",101,8,8,3,82
"Casado(a) (059)",2177,191,343,260,1394
"Viudo(a) (060)",234,19,7,7,201
"Divorciado(a) (061)",24,,2,1,21
"Soltero(a) (062)",2391,461,158,107,1668
"Mujeres (064)",5099,866,404,119,3714
"Conviviente (065)",1182,144,74,14,950
"Separado(a) (066)",90,13,7,2,68
"Casado(a) (067)",1836,238,196,62,1341
"Viudo(a) (068)",406,47,19,6,334
"Divorciado(a) (069)",15,1,2,,12
"Soltero(a) (070)",1570,423,106,35,1009
