"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ABANCAY (000)",25439,18262,7177
"Red pública dentro de la vivienda (001)",9460,9014,446
"Red pública fuera de la vivienda (002)",5240,4644,596
"Pilón de uso público (003)",367,208,159
"Camión - cisterna u otro similar (004)",6,3,3
"Pozo (005)",204,46,158
"Río, acequia, manatial o similar (006)",8135,2947,5188
"Vecino (007)",512,218,294
"Otro (008)",1515,1182,333
,,,
"URBANA (010)",15943,14766,1177
"Red pública dentro de la vivienda (011)",9114,8781,333
"Red pública fuera de la vivienda (012)",4528,4235,293
"Pilón de uso público (013)",142,99,43
"Camión - cisterna u otro similar (014)",3,3,
"Pozo (015)",19,11,8
"Río, acequia, manatial o similar (016)",743,554,189
"Vecino (017)",241,124,117
"Otro (018)",1153,959,194
,,,
"RURAL (020)",9496,3496,6000
"Red pública dentro de la vivienda (021)",346,233,113
"Red pública fuera de la vivienda (022)",712,409,303
"Pilón de uso público (023)",225,109,116
"Camión - cisterna u otro similar (024)",3,,3
"Pozo (025)",185,35,150
"Río, acequia, manatial o similar (026)",7392,2393,4999
"Vecino (027)",271,94,177
"Otro (028)",362,223,139
