"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia NAZCA (000)",22019,20570,5662,3555,3522,2545,2740,1378,1168,1449
"Católica (001)",19195,17953,4906,3103,3143,2225,2386,1189,1001,1242
"Cristiana/Evangélica (002)",1655,1548,402,242,222,198,233,138,113,107
"Otra (003)",751,687,223,116,105,70,96,39,38,64
"Ninguna (004)",418,382,131,94,52,52,25,12,16,36
,,,,,,,,,,
"URBANA (006)",19499,18185,5076,3212,3186,2274,2363,1135,939,1314
"Católica (007)",16914,15800,4374,2791,2838,1972,2046,973,806,1114
"Cristiana/Evangélica (008)",1487,1384,368,223,201,184,202,114,92,103
"Otra (009)",722,661,218,112,101,67,94,38,31,61
"Ninguna (010)",376,340,116,86,46,51,21,10,10,36
,,,,,,,,,,
"RURAL (012)",2520,2385,586,343,336,271,377,243,229,135
"Católica (013)",2281,2153,532,312,305,253,340,216,195,128
"Cristiana/Evangélica (014)",168,164,34,19,21,14,31,24,21,4
"Otra (015)",29,26,5,4,4,3,2,1,7,3
"Ninguna (016)",42,42,15,8,6,1,4,2,6,
